,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84246.544,300.872,300.872,0.0,0.0,0.0,0.0,15452.584,0.0,0.0
1,83684.604,370.68,370.68,0.0,0.0,0.0,0.0,15951.028,6.312,0.0
2,83109.416,456.176,456.176,0.0,0.0,0.0,0.0,16449.036,14.628,0.0
3,82517.896,560.516,560.516,0.0,0.0,0.0,0.0,16946.66,25.072,0.0
4,81907.788,685.676,679.364,0.0,0.0,0.0,0.0,17443.98,31.132,0.0
5,81277.744,835.632,821.004,0.0,0.0,0.0,0.0,17940.336,39.084,0.0
6,80627.26,1009.504,984.432,37.16,327.208,0.0,0.0,18436.2,47.892,0.0
7,80000.776,1156.656,1119.212,44.8,396.748,0.0,0.0,18931.468,51.456,0.0
8,79366.192,1314.456,1260.744,54.176,481.268,0.0,0.0,19426.476,53.412,0.0
9,78724.368,1482.188,1409.224,65.248,582.984,0.0,0.0,19920.668,54.26,0.0
10,78077.224,1657.368,1568.468,78.944,702.976,0.0,0.0,20414.304,59.996,0.0
11,77426.816,1837.692,1730.568,94.388,842.152,0.0,0.0,20907.248,64.632,0.0
12,76774.22,2022.264,1895.04,107.416,960.34,0.0,0.0,21399.648,68.908,0.0
13,76119.104,2211.964,1713.46,84.052,758.912,14.76,349.608,21890.548,72.72,0.0
14,75463.952,2403.356,1805.392,91.36,822.056,15.34,426.208,22380.76,76.312,0.0
15,74809.308,2596.968,1881.36,97.496,875.532,15.968,519.476,22870.132,80.276,0.0
16,74154.144,2792.824,1939.608,102.24,915.464,16.632,631.6,23358.396,83.748,0.0
17,73498.608,2991.284,1978.684,104.808,939.404,17.388,764.532,23846.028,87.852,0.0
18,72844.756,3190.14,1995.456,105.92,947.888,18.264,918.276,24332.636,91.124,0.0
19,72191.796,3390.012,2035.944,109.388,978.144,19.052,1048.704,24818.384,94.828,0.0
20,71540.32,3589.956,2051.736,112.092,1001.136,5.032,1197.264,25303.204,97.56,5.036
21,70891.008,3789.564,2072.4,114.072,1018.424,5.332,1344.4,25787.416,100.456,5.232
22,70242.412,3990.172,2086.988,115.756,1031.136,5.48,1497.524,26270.372,102.764,5.468
23,69596.572,4188.06,2094.216,116.768,1039.904,5.572,1654.648,26753.476,104.628,5.716
24,68952.536,4386.788,2098.2,116.704,1046.984,5.532,1814.628,27235.06,106.396,5.972
25,68312.164,4583.032,2095.076,116.892,1049.236,5.348,1978.72,27715.764,108.004,6.28
26,67672.616,4778.712,2090.536,117.216,1049.072,5.22,2143.432,28196.208,109.428,6.636
27,67037.784,4971.552,2081.76,116.996,1049.66,5.152,2308.524,28675.48,110.432,6.884
