,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84244,302,302,0,0,0,0,15454,0,0
1,83680,370,370,0,0,0,0,15954,4,0
2,83111,448,448,0,0,0,0,16453,12,0
3,82528,543,543,0,0,0,0,16950,21,0
4,81935,651,647,0,0,0,0,17447,29,0
5,81306,797,785,0,0,0,0,17943,34,0
6,80648,977,956,33,333,0,0,18439,43,0
7,80029,1111,1078,39,397,0,0,18933,40,0
8,79415,1245,1199,50,472,0,0,19427,41,0
9,78776,1405,1341,56,562,0,0,19921,38,0
10,78148,1555,1482,65,686,0,0,20416,46,0
11,77507,1718,1631,84,829,0,0,20912,50,0
12,76878,1891,1789,95,943,0,0,21400,67,0
13,76235,2062,1635,73,719,58,308,21893,71,0
14,75602,2220,1721,74,793,74,362,22386,71,0
15,74988,2372,1768,78,836,87,435,22876,67,0
16,74328,2565,1855,87,876,98,520,23367,70,0
17,73673,2761,1927,89,882,125,626,23855,81,0
18,73043,2933,1941,87,872,157,756,24339,79,0
19,72391,3123,1996,95,879,171,867,24827,81,0
20,71725,3332,2013,94,884,128,1013,25313,81,17
21,71089,3513,2036,110,892,141,1141,25801,88,21
22,70450,3719,2094,114,922,152,1260,26281,109,24
23,69814,3897,2113,113,924,167,1385,26765,106,29
24,69170,4090,2133,117,943,168,1515,27257,114,39
25,68522,4287,2127,115,975,162,1657,27744,103,53
26,67878,4495,2175,109,989,168,1784,28225,122,60
27,67267,4690,2210,115,1018,173,1899,28692,132,64
28,66657,4866,2169,103,1013,161,2074,29162,132,70
29,66029,5051,2144,100,1001,163,2229,29634,116,80
30,65421,5218,2108,101,1015,157,2369,30109,99,92
31,64813,5378,2064,94,1021,153,2528,30592,98,101
32,64207,5548,2026,93,986,154,2694,31066,107,114
33,63605,5714,2011,90,981,155,2835,31541,112,120
34,63012,5865,1972,91,977,159,2978,32013,107,132
35,62399,6041,1962,98,951,163,3118,32485,104,140
36,61787,6209,1938,91,931,162,3264,32965,101,147
37,61182,6368,1917,93,900,173,3411,33443,103,150
38,60584,6523,1869,98,859,168,3572,33920,102,157
39,59982,6678,1846,95,839,170,3706,34400,99,165
40,59351,6871,1864,102,833,167,3842,34878,107,172
41,58758,7041,1837,99,812,160,3996,35345,116,181
42,58171,7186,1822,98,807,166,4113,35819,115,191
43,57586,7341,1807,96,805,161,4235,36287,109,199
44,57006,7500,1786,101,790,156,4364,36757,108,207
45,56417,7660,1788,102,815,157,4480,37226,113,217
46,55849,7809,1769,106,817,144,4602,37693,120,229
47,55259,7968,1753,104,791,152,4731,38164,116,233
48,54695,8101,1725,102,782,160,4850,38635,115,238
49,54116,8253,1704,91,783,155,4971,39104,108,249
50,53543,8390,1688,98,778,161,5081,39575,99,254
51,52968,8527,1665,84,778,159,5195,40049,95,264
