,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84247.35,298.2,298.2,0.0,0.0,0.0,0.0,15454.45,0.0,0.0
1,83690.45,363.25,363.25,0.0,0.0,0.0,0.0,15951.9,5.6,0.0
2,83117.55,447.4,447.4,0.0,0.0,0.0,0.0,16449.55,14.5,0.0
3,82529.55,547.3,547.3,0.0,0.0,0.0,0.0,16947.2,24.05,0.0
4,81922.25,669.7,664.1,0.0,0.0,0.0,0.0,17444.45,30.8,0.0
5,81292.7,817.3,802.8,0.0,0.0,0.0,0.0,17941.45,36.95,0.0
6,80644.9,987.75,963.7,34.45,323.2,0.0,0.0,18437.05,45.65,0.0
7,80017.25,1134.25,1097.85,41.45,391.45,0.0,0.0,18932.4,47.5,0.0
8,79384.0,1291.5,1240.05,50.5,472.75,0.0,0.0,19427.1,51.15,0.0
9,78738.7,1461.4,1391.7,61.2,572.1,0.0,0.0,19921.3,51.7,0.0
10,78088.7,1636.6,1552.7,74.05,691.8,0.0,0.0,20415.2,56.6,0.0
11,77435.9,1818.8,1716.2,88.8,829.25,0.0,0.0,20907.45,59.55,0.0
12,76779.0,2006.45,1885.05,102.25,948.1,0.0,0.0,21400.4,64.45,0.0
13,76123.1,2196.85,1756.95,81.7,749.55,58.25,299.4,21891.75,71.2,0.0
14,75467.9,2390.75,1866.95,90.25,816.85,71.25,361.65,22381.55,78.05,0.0
15,74806.1,2590.1,1967.15,97.95,874.9,86.15,437.1,22871.45,81.8,0.0
16,74144.85,2793.7,2052.65,103.4,919.95,103.95,529.35,23358.95,85.8,0.0
17,73485.5,2996.8,2115.2,107.05,947.7,124.45,641.4,23844.5,86.6,0.0
18,72827.4,3201.45,2165.3,108.9,958.2,149.55,768.5,24331.0,92.2,0.0
19,72169.65,3406.55,2229.5,112.75,987.45,170.8,879.55,24816.9,95.6,0.0
20,71512.1,3610.4,2229.7,114.95,1018.6,135.0,1035.1,25301.65,97.35,18.8
21,70857.55,3813.7,2259.9,117.85,1038.35,146.05,1170.85,25786.8,98.2,23.1
22,70202.65,4023.95,2292.9,119.6,1054.3,158.15,1309.8,26267.8,101.3,28.15
23,69555.1,4226.25,2312.1,120.95,1064.0,166.65,1455.9,26750.85,108.05,34.1
24,68909.45,4429.25,2323.25,121.3,1071.55,172.65,1606.5,27230.25,110.9,41.45
25,68266.45,4629.55,2324.05,122.6,1078.5,174.05,1760.9,27710.2,111.8,50.2
26,67624.35,4830.4,2326.75,120.85,1084.25,179.1,1914.4,28190.25,112.8,57.05
27,66992.4,5023.5,2319.55,120.9,1086.2,187.45,2071.15,28668.6,115.55,63.85
28,66357.45,5220.65,2309.2,120.0,1077.85,190.95,2233.2,29145.5,117.4,72.05
29,65727.35,5411.2,2288.85,117.4,1072.9,192.65,2396.15,29621.7,115.25,81.2
30,65102.85,5597.05,2266.1,115.05,1066.7,195.15,2556.25,30098.55,113.95,90.2
31,64484.1,5782.25,2243.8,113.75,1058.2,198.6,2716.4,30571.7,114.45,98.45
32,63866.45,5965.05,2218.05,110.7,1042.05,199.5,2879.05,31045.15,116.4,107.7
33,63248.85,6148.35,2194.65,110.4,1031.0,200.4,3038.8,31519.5,118.25,116.45
34,62638.15,6324.45,2153.9,110.85,1010.55,197.05,3204.9,31993.2,117.75,127.6
