,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84261,294,294,0,0,0,0,15445,0,0
1,83701,364,364,0,0,0,0,15941,6,0
2,83119,457,457,0,0,0,0,16439,15,0
3,82533,556,556,0,0,0,0,16936,25,0
4,81929,674,668,0,0,0,0,17433,30,0
5,81307,811,796,0,0,0,0,17925,28,0
6,80663,978,953,28,330,0,0,18421,37,0
7,80063,1095,1059,36,406,0,0,18917,39,0
8,79465,1220,1177,43,488,0,0,19408,50,0
9,78850,1365,1303,57,581,0,0,19900,53,0
10,78198,1545,1470,67,701,0,0,20394,62,0
11,77544,1726,1633,83,833,0,0,20887,64,0
12,76926,1877,1762,96,924,0,0,21375,63,0
13,76263,2066,1596,83,686,25,333,21868,60,0
14,75601,2264,1692,82,726,27,415,22359,67,0
15,74963,2439,1759,84,793,29,502,22847,71,0
16,74329,2611,1805,84,847,29,609,23334,77,0
17,73698,2782,1820,88,843,30,738,23826,82,0
18,73034,2987,1852,94,859,30,886,24314,86,0
19,72401,3160,1896,100,920,30,990,24798,85,0
20,71758,3350,1925,97,966,8,1113,25287,89,6
21,71129,3519,1942,102,985,8,1236,25770,83,6
22,70515,3674,1913,107,961,6,1395,26257,87,7
23,69893,3863,1906,111,972,7,1555,26728,89,7
24,69293,4008,1898,110,992,7,1684,27214,97,8
25,68647,4200,1894,104,982,9,1852,27702,103,8
26,67996,4403,1890,102,959,11,2021,28182,97,8
27,67382,4577,1881,101,937,9,2171,28662,106,10
28,66774,4729,1852,106,936,9,2318,29151,105,10
29,66167,4877,1829,104,913,9,2457,29631,94,10
30,65566,5029,1767,98,901,11,2631,30114,88,10
31,64963,5187,1746,101,920,14,2776,30593,89,11
32,64361,5358,1741,101,900,13,2931,31065,109,11
33,63756,5528,1729,93,881,11,3078,31537,112,12
34,63164,5680,1719,92,882,10,3205,32013,114,13
35,62564,5836,1682,85,856,9,3356,32495,111,14
36,61944,6020,1715,92,859,9,3470,32974,117,14
37,61345,6161,1660,101,822,7,3629,33460,109,15
38,60739,6331,1617,95,790,3,3802,33933,108,17
39,60140,6489,1599,90,777,4,3935,34414,105,17
40,59543,6640,1603,90,776,4,4054,34893,110,17
41,58975,6788,1587,101,779,4,4181,35356,114,17
42,58389,6926,1568,102,773,5,4297,35834,102,18
43,57819,7065,1550,99,785,5,4421,36309,109,18
44,57250,7207,1521,87,785,5,4550,36772,102,19
