,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84216,326,326,0,0,0,0,15458,0,0
1,83665,383,383,0,0,0,0,15957,5,0
2,83112,445,445,0,0,0,0,16455,12,0
3,82547,526,526,0,0,0,0,16949,22,0
4,81972,616,611,0,0,0,0,17446,29,0
5,81379,733,721,0,0,0,0,17943,43,0
6,80790,841,819,29,349,0,0,18436,45,0
7,80217,927,893,34,399,0,0,18933,43,0
8,79649,1008,953,45,459,0,0,19428,30,0
9,79074,1095,1028,61,521,0,0,19924,26,0
10,78486,1199,1122,70,608,0,0,20419,27,0
11,77910,1297,1212,82,692,0,0,20910,32,0
12,77324,1398,1305,88,762,0,0,21405,34,0
13,76746,1502,1033,65,480,13,365,21896,40,0
14,76155,1617,1080,67,502,13,420,22392,47,0
15,75562,1727,1111,61,530,15,489,22886,48,0
16,74969,1844,1135,53,545,17,565,23375,44,0
17,74404,1941,1118,52,541,19,659,23859,40,0
18,73840,2024,1094,43,541,19,755,24350,39,0
19,73269,2119,1100,53,550,19,831,24842,42,0
20,72691,2218,1098,61,568,7,913,25331,36,3
21,72113,2323,1114,74,580,7,992,25816,38,3
22,71545,2408,1088,75,567,5,1087,26304,27,3
23,70984,2500,1083,76,554,3,1173,26795,39,4
24,70416,2599,1077,74,544,1,1266,27278,41,4
25,69836,2707,1094,80,540,2,1352,27768,54,4
26,69273,2797,1067,72,546,2,1447,28253,44,4
27,68724,2870,1026,65,534,1,1547,28742,43,4
28,68140,2984,1018,49,516,1,1651,29230,43,4
29,67564,3092,1033,47,522,1,1732,29722,55,4
30,66992,3196,1052,50,536,2,1804,30212,64,4
31,66416,3311,1070,54,531,2,1883,30703,76,4
32,65858,3403,1048,55,501,1,1972,31189,72,5
33,65291,3509,1039,55,504,1,2065,31679,79,5
34,64732,3603,1023,56,507,1,2145,32162,67,5
35,64151,3718,1049,63,512,2,2214,32649,68,5
36,63616,3795,1012,70,505,2,2299,33122,54,5
37,63071,3882,991,61,496,2,2388,33606,62,6
38,62525,3965,975,59,497,2,2466,34088,60,6
39,61963,4055,990,53,519,2,2526,34571,56,6
40,61420,4132,945,53,517,2,2622,35052,45,6
41,60879,4211,921,49,499,2,2706,35536,47,6
42,60323,4303,919,46,481,1,2789,36023,58,6
43,59774,4389,905,41,465,1,2874,36507,62,6
44,59246,4461,883,41,472,0,2946,36990,60,7
45,58705,4538,861,42,456,0,3023,37475,55,7
46,58157,4625,853,45,435,0,3099,37957,55,7
47,57614,4699,814,46,410,0,3193,38443,51,7
48,57065,4780,816,46,415,0,3255,38934,54,7
49,56521,4866,823,41,412,1,3315,39419,57,7
50,55984,4939,817,47,402,1,3379,39902,60,7
51,55451,5011,790,50,388,1,3458,40384,58,7
52,54924,5087,782,46,389,1,3520,40858,54,7
53,54401,5160,779,44,394,1,3578,41335,59,7
54,53871,5230,761,43,389,1,3648,41822,62,7
55,53339,5300,746,45,375,1,3715,42305,60,7
56,52829,5363,732,47,374,0,3769,42783,62,7
57,52305,5432,721,37,382,1,3828,43261,57,7
58,51790,5489,694,35,366,1,3896,43746,60,7
59,51262,5548,670,32,359,2,3954,44241,53,7
60,50741,5617,662,33,351,2,4015,44727,58,7
61,50226,5676,638,31,327,2,4079,45210,57,7
62,49712,5726,615,32,324,2,4134,45700,53,7
63,49206,5768,582,31,309,2,4188,46184,42,7
64,48703,5822,559,37,286,1,4247,46669,43,7
65,48202,5879,552,37,284,1,4297,47152,47,7
66,47687,5930,543,38,275,0,4346,47642,51,8
67,47175,5988,528,34,261,0,4400,48132,51,8
68,46666,6034,518,30,259,0,4438,48616,43,8
69,46167,6082,499,27,244,0,4491,49106,48,8
70,45675,6121,481,25,247,0,4529,49596,48,8
71,45180,6154,463,20,248,0,4570,50085,45,8
72,44667,6201,443,19,240,0,4618,50575,37,8
73,44193,6236,418,19,235,0,4659,51059,34,8
74,43690,6285,424,19,228,0,4695,51545,44,8
75,43205,6326,422,19,216,0,4727,52025,41,8
76,42709,6370,415,15,211,0,4762,52506,37,8
77,42216,6417,406,16,207,0,4801,52985,29,8
78,41708,6463,407,14,191,0,4838,53474,29,8
79,41217,6505,398,11,187,0,4877,53957,29,8
80,40723,6563,411,10,185,0,4913,54439,40,8
81,40214,6609,420,10,188,0,4942,54930,48,8
82,39709,6667,446,9,207,0,4962,55418,60,8
83,39202,6719,452,10,218,0,4988,55909,54,8
84,38693,6785,466,10,212,0,5024,56402,61,8
85,38188,6841,479,15,226,0,5043,56887,58,8
86,37699,6886,478,22,217,0,5075,57371,61,8
87,37193,6936,472,26,214,0,5108,57865,55,8
88,36698,6991,474,25,221,0,5140,58354,55,8
89,36188,7051,479,32,219,0,5178,58849,57,8
90,35703,7090,463,33,215,0,5216,59334,53,8
91,35221,7137,459,31,215,0,5246,59824,56,8
92,34732,7177,442,29,212,0,5284,60317,53,8
