,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84227,317,317,0,0,0,0,15456,0,0
1,83662,388,388,0,0,0,0,15953,3,0
2,83079,479,479,0,0,0,0,16452,10,0
3,82481,584,584,0,0,0,0,16950,15,0
4,81871,709,706,0,0,0,0,17446,23,0
5,81229,866,856,0,0,0,0,17945,30,0
6,80572,1046,1031,36,349,0,0,18441,44,0
7,79942,1195,1169,40,429,0,0,18934,45,0
8,79297,1366,1326,52,517,0,0,19425,48,0
9,78659,1540,1481,60,623,0,0,19917,57,0
10,78016,1724,1653,70,756,0,0,20407,76,0
11,77348,1916,1828,85,902,0,0,20899,75,0
12,76692,2110,1994,95,1029,0,0,21391,77,0
13,76052,2282,1774,67,826,24,361,21885,72,0
14,75386,2486,1879,76,879,25,444,22373,82,0
15,74726,2692,1956,81,927,26,543,22856,81,0
16,74086,2874,1999,91,979,27,656,23345,86,0
17,73430,3076,2032,91,1000,27,799,23831,92,0
18,72766,3282,2051,90,986,30,957,24322,96,0
19,72062,3540,2141,96,1021,30,1094,24809,106,0
20,71411,3744,2136,106,1034,7,1262,25292,110,9
21,70755,3953,2165,105,1040,6,1409,25781,119,9
22,70087,4174,2191,107,1055,5,1563,26266,116,9
23,69422,4406,2212,108,1051,6,1737,26746,127,10
24,68777,4605,2208,123,1089,9,1898,27227,120,10
25,68146,4805,2221,121,1113,6,2047,27701,125,10
26,67498,5017,2208,129,1094,6,2225,28179,120,10
27,66865,5207,2188,129,1100,8,2399,28657,120,11
28,66236,5396,2183,136,1127,8,2550,29135,115,11
29,65593,5598,2174,133,1124,9,2719,29614,111,11
30,64973,5782,2148,133,1108,7,2893,30082,108,12
31,64336,5984,2092,123,1071,4,3113,30567,120,12
32,63711,6180,2083,127,1054,5,3280,31034,120,12
33,63102,6350,2054,119,1046,5,3447,31513,128,12
34,62465,6539,2008,123,1023,3,3631,31993,110,13
35,61826,6725,1971,125,988,3,3816,32475,101,13
36,61203,6924,1966,119,982,3,3979,32944,106,14
37,60602,7101,1955,115,987,4,4135,33403,109,14
38,59992,7273,1928,114,948,4,4305,33872,111,14
39,59393,7443,1897,118,946,3,4461,34335,100,14
40,58772,7637,1907,118,952,5,4610,34803,106,14
41,58169,7810,1884,109,951,4,4775,35273,113,14
42,57602,7960,1848,98,952,4,4927,35730,116,14
43,57009,8132,1826,100,939,3,5080,36188,110,14
44,56450,8277,1774,100,917,2,5239,36649,113,14
45,55890,8435,1765,102,938,2,5369,37103,125,14
46,55294,8595,1733,94,924,2,5526,37577,127,14
47,54737,8734,1672,92,882,0,5685,38034,116,14
48,54167,8875,1610,92,865,0,5839,38505,103,14
49,53635,9003,1559,94,825,0,5981,38962,110,14
50,53084,9142,1527,95,792,0,6122,39424,124,14
51,52538,9279,1492,98,776,0,6258,39886,131,14
52,51974,9420,1436,92,738,0,6411,40350,121,14
53,51442,9536,1373,90,710,0,6546,40815,113,14
54,50910,9656,1337,81,690,0,6659,41282,111,14
55,50370,9792,1302,78,651,0,6796,41746,116,14
56,49825,9919,1289,77,642,0,6900,42217,120,14
57,49296,10041,1261,82,635,0,7009,42669,115,14
58,48754,10156,1214,75,599,0,7132,43141,105,14
59,48227,10285,1194,67,577,0,7241,43600,105,14
60,47698,10406,1174,65,571,0,7346,44063,106,14
61,47170,10508,1163,64,575,0,7430,44538,107,14
62,46639,10622,1142,67,563,0,7525,45001,97,14
63,46124,10729,1118,65,557,0,7619,45468,93,14
64,45606,10834,1086,60,544,0,7726,45940,94,14
65,45097,10928,1070,59,549,0,7806,46406,92,14
