,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,8429.0,27.0,27.0,0.0,0.0,0.0,0.0,1544.0,0.0,0.0
1,8369.0,38.0,38.0,0.0,0.0,0.0,0.0,1594.0,1.0,0.0
2,8306.0,52.0,52.0,0.0,0.0,0.0,0.0,1644.0,2.0,0.0
3,8243.0,67.0,67.0,0.0,0.0,0.0,0.0,1694.0,4.0,0.0
4,8183.0,79.0,78.0,0.0,0.0,0.0,0.0,1744.0,5.0,0.0
5,8111.0,103.0,101.0,0.0,0.0,0.0,0.0,1794.0,6.0,0.0
6,8040.0,128.0,124.0,7.0,30.0,0.0,0.0,1843.0,7.0,0.0
7,7973.0,146.0,140.0,9.0,41.0,0.0,0.0,1893.0,6.0,0.0
8,7903.0,170.0,162.0,13.0,50.0,0.0,0.0,1942.0,7.0,0.0
9,7837.0,190.0,179.0,14.0,59.0,0.0,0.0,1991.0,7.0,0.0
10,7772.0,205.0,193.0,15.0,80.0,0.0,0.0,2041.0,6.0,0.0
11,7703.0,229.0,214.0,15.0,102.0,0.0,0.0,2089.0,6.0,0.0
12,7641.0,247.0,229.0,16.0,118.0,0.0,0.0,2138.0,8.0,0.0
13,7574.0,269.0,219.0,13.0,105.0,5.0,32.0,2184.0,9.0,0.0
14,7510.0,286.0,220.0,14.0,108.0,5.0,45.0,2234.0,9.0,0.0
15,7445.0,305.0,221.0,10.0,114.0,5.0,58.0,2284.0,8.0,0.0
16,7381.0,321.0,226.0,9.0,126.0,5.0,68.0,2334.0,9.0,0.0
17,7313.0,343.0,223.0,8.0,118.0,5.0,90.0,2382.0,8.0,0.0
18,7250.0,362.0,216.0,10.0,115.0,5.0,112.0,2429.0,7.0,0.0
19,7188.0,382.0,217.0,11.0,111.0,5.0,129.0,2477.0,11.0,0.0
20,7127.0,398.0,206.0,7.0,109.0,1.0,151.0,2526.0,13.0,3.0
21,7059.0,426.0,215.0,5.0,108.0,2.0,167.0,2573.0,17.0,3.0
22,6994.0,449.0,217.0,6.0,112.0,2.0,182.0,2619.0,15.0,3.0
23,6936.0,465.0,209.0,6.0,107.0,3.0,202.0,2666.0,16.0,3.0
24,6873.0,483.0,207.0,8.0,106.0,3.0,215.0,2716.0,14.0,3.0
25,6801.0,509.0,208.0,7.0,98.0,3.0,236.0,2764.0,12.0,3.0
26,6739.0,530.0,210.0,5.0,107.0,3.0,250.0,2812.0,14.0,3.0
27,6672.0,553.0,212.0,9.0,107.0,2.0,266.0,2861.0,14.0,3.0
28,6614.0,567.0,209.0,9.0,104.0,1.0,280.0,2910.0,17.0,4.0
29,6556.0,585.0,200.0,8.0,98.0,1.0,300.0,2956.0,16.0,4.0
30,6499.0,596.0,189.0,9.0,105.0,0.0,316.0,3005.0,14.0,5.0
31,6433.0,614.0,188.0,7.0,107.0,0.0,330.0,3055.0,11.0,5.0
32,6370.0,634.0,190.0,7.0,113.0,0.0,342.0,3103.0,10.0,5.0
33,6307.0,652.0,184.0,10.0,98.0,0.0,363.0,3150.0,9.0,5.0
34,6248.0,666.0,177.0,6.0,95.0,0.0,382.0,3198.0,10.0,5.0
35,6191.0,678.0,173.0,5.0,93.0,0.0,393.0,3244.0,6.0,5.0
36,6133.0,690.0,170.0,7.0,94.0,0.0,406.0,3291.0,5.0,5.0
37,6075.0,703.0,156.0,6.0,86.0,0.0,430.0,3338.0,4.0,5.0
38,6021.0,715.0,153.0,9.0,85.0,0.0,444.0,3384.0,7.0,5.0
39,5964.0,728.0,147.0,8.0,79.0,0.0,462.0,3431.0,9.0,5.0
40,5909.0,745.0,153.0,6.0,83.0,0.0,471.0,3476.0,14.0,5.0
41,5849.0,763.0,156.0,8.0,80.0,1.0,482.0,3522.0,14.0,5.0
42,5793.0,776.0,158.0,8.0,83.0,1.0,490.0,3567.0,13.0,5.0
43,5736.0,790.0,149.0,6.0,77.0,1.0,506.0,3613.0,9.0,5.0
44,5684.0,802.0,142.0,6.0,72.0,1.0,521.0,3658.0,9.0,5.0
45,5633.0,812.0,134.0,4.0,68.0,1.0,537.0,3702.0,10.0,5.0
46,5576.0,827.0,135.0,6.0,69.0,1.0,548.0,3749.0,11.0,5.0
47,5521.0,839.0,132.0,5.0,70.0,1.0,559.0,3794.0,9.0,5.0
48,5463.0,853.0,131.0,3.0,72.0,0.0,571.0,3843.0,11.0,5.0
49,5402.0,871.0,134.0,3.0,69.0,0.0,582.0,3891.0,11.0,5.0
50,5343.0,885.0,138.0,4.0,67.0,0.0,590.0,3938.0,11.0,5.0
51,5289.0,902.0,140.0,9.0,63.0,0.0,600.0,3981.0,9.0,5.0
52,5235.0,915.0,139.0,10.0,62.0,0.0,610.0,4027.0,8.0,5.0
53,5172.0,935.0,143.0,10.0,57.0,0.0,624.0,4076.0,12.0,5.0
54,5114.0,953.0,147.0,10.0,60.0,0.0,635.0,4121.0,13.0,5.0
55,5070.0,965.0,145.0,11.0,60.0,0.0,646.0,4163.0,16.0,5.0
56,5017.0,979.0,145.0,12.0,65.0,0.0,654.0,4211.0,17.0,5.0
57,4964.0,993.0,148.0,11.0,69.0,0.0,661.0,4257.0,18.0,5.0
58,4903.0,1006.0,144.0,6.0,77.0,0.0,672.0,4305.0,12.0,5.0
59,4846.0,1020.0,141.0,4.0,83.0,0.0,682.0,4353.0,9.0,5.0
60,4792.0,1033.0,140.0,2.0,82.0,0.0,691.0,4400.0,8.0,5.0
61,4737.0,1043.0,136.0,3.0,74.0,0.0,705.0,4448.0,9.0,5.0
62,4680.0,1059.0,136.0,3.0,71.0,0.0,717.0,4494.0,8.0,5.0
63,4632.0,1067.0,126.0,4.0,69.0,0.0,731.0,4541.0,7.0,5.0
64,4583.0,1073.0,121.0,7.0,66.0,0.0,741.0,4587.0,8.0,5.0
65,4529.0,1081.0,112.0,7.0,61.0,0.0,755.0,4637.0,6.0,5.0
66,4473.0,1094.0,108.0,8.0,55.0,0.0,769.0,4683.0,5.0,5.0
67,4422.0,1105.0,111.0,8.0,62.0,0.0,775.0,4727.0,5.0,5.0
68,4369.0,1115.0,113.0,8.0,60.0,0.0,782.0,4775.0,6.0,5.0
69,4309.0,1132.0,119.0,7.0,56.0,0.0,791.0,4823.0,8.0,5.0
70,4259.0,1146.0,118.0,5.0,52.0,0.0,804.0,4868.0,10.0,5.0
71,4209.0,1154.0,114.0,3.0,55.0,0.0,814.0,4917.0,11.0,5.0
72,4160.0,1170.0,117.0,5.0,53.0,0.0,823.0,4961.0,15.0,5.0
73,4110.0,1179.0,113.0,4.0,53.0,0.0,832.0,5010.0,14.0,5.0
74,4053.0,1192.0,110.0,4.0,53.0,0.0,845.0,5058.0,13.0,5.0
75,3998.0,1204.0,109.0,4.0,58.0,0.0,850.0,5105.0,7.0,5.0
76,3943.0,1217.0,115.0,4.0,59.0,0.0,854.0,5154.0,8.0,5.0
77,3890.0,1233.0,122.0,5.0,59.0,0.0,861.0,5202.0,15.0,5.0
78,3845.0,1242.0,118.0,5.0,54.0,0.0,872.0,5250.0,18.0,5.0
79,3791.0,1260.0,123.0,4.0,57.0,0.0,881.0,5298.0,22.0,5.0
80,3746.0,1265.0,111.0,5.0,58.0,0.0,889.0,5343.0,15.0,5.0
81,3701.0,1269.0,97.0,6.0,53.0,0.0,902.0,5390.0,12.0,5.0
82,3657.0,1275.0,85.0,6.0,50.0,0.0,912.0,5438.0,7.0,5.0
83,3614.0,1279.0,82.0,7.0,48.0,0.0,917.0,5487.0,6.0,5.0
84,3569.0,1285.0,78.0,7.0,50.0,0.0,925.0,5530.0,6.0,5.0
85,3530.0,1287.0,71.0,7.0,47.0,0.0,931.0,5573.0,4.0,5.0
86,3486.0,1293.0,65.0,6.0,39.0,0.0,942.0,5617.0,5.0,5.0
87,3439.0,1299.0,59.0,6.0,32.0,0.0,952.0,5662.0,5.0,5.0
88,3389.0,1304.0,54.0,5.0,27.0,0.0,961.0,5711.0,5.0,5.0
89,3342.0,1308.0,49.0,5.0,24.0,0.0,968.0,5759.0,4.0,5.0
90,3297.0,1312.0,47.0,4.0,22.0,0.0,972.0,5807.0,2.0,5.0
91,3252.0,1314.0,38.0,5.0,15.0,0.0,982.0,5854.0,1.0,5.0
92,3202.0,1318.0,38.0,4.0,17.0,0.0,985.0,5903.0,2.0,5.0
93,3160.0,1320.0,38.0,4.0,19.0,0.0,987.0,5950.0,3.0,5.0
94,3112.0,1325.0,40.0,3.0,20.0,0.0,990.0,5999.0,5.0,5.0
95,3064.0,1329.0,39.0,4.0,20.0,0.0,993.0,6048.0,4.0,5.0
96,3017.0,1333.0,38.0,3.0,19.0,0.0,997.0,6097.0,5.0,5.0
97,2972.0,1337.0,39.0,4.0,19.0,0.0,998.0,6146.0,6.0,5.0
98,2924.0,1340.0,37.0,2.0,18.0,0.0,1002.0,6195.0,6.0,5.0
99,2883.0,1343.0,34.0,2.0,17.0,0.0,1006.0,6242.0,6.0,5.0
100,2845.0,1343.0,27.0,3.0,15.0,0.0,1010.0,6288.0,3.0,5.0
101,2803.0,1344.0,24.0,3.0,14.0,0.0,1013.0,6337.0,3.0,5.0
102,2757.0,1346.0,20.0,2.0,12.0,0.0,1017.0,6385.0,1.0,5.0
103,2718.0,1347.0,19.0,3.0,11.0,0.0,1019.0,6432.0,2.0,5.0
104,2669.0,1349.0,18.0,3.0,10.0,0.0,1021.0,6482.0,3.0,5.0
105,2623.0,1349.0,17.0,3.0,9.0,0.0,1022.0,6532.0,3.0,5.0
106,2575.0,1349.0,13.0,3.0,6.0,0.0,1025.0,6582.0,2.0,5.0
107,2531.0,1350.0,9.0,3.0,5.0,0.0,1028.0,6629.0,0.0,5.0
108,2488.0,1351.0,8.0,3.0,3.0,0.0,1030.0,6676.0,0.0,5.0
109,2442.0,1351.0,7.0,3.0,2.0,0.0,1031.0,6725.0,0.0,5.0
110,2403.0,1352.0,6.0,2.0,1.0,0.0,1033.0,6774.0,1.0,5.0
111,2362.0,1354.0,7.0,1.0,1.0,0.0,1034.0,6821.0,1.0,5.0
112,2322.0,1354.0,7.0,1.0,2.0,0.0,1034.0,6870.0,1.0,5.0
113,2277.0,1354.0,6.0,1.0,3.0,0.0,1034.0,6920.0,0.0,5.0
114,2232.0,1356.0,6.0,0.0,2.0,0.0,1036.0,6969.0,1.0,5.0
115,2186.0,1358.0,8.0,0.0,2.0,0.0,1036.0,7019.0,2.0,5.0
116,2140.0,1359.0,9.0,0.0,4.0,0.0,1036.0,7069.0,3.0,5.0
117,2097.0,1360.0,9.0,0.0,4.0,0.0,1036.0,7118.0,2.0,5.0
118,2054.0,1361.0,9.0,0.0,4.0,0.0,1036.0,7167.0,1.0,5.0
119,2012.0,1363.0,9.0,0.0,4.0,0.0,1037.0,7216.0,1.0,5.0
120,1964.0,1366.0,11.0,0.0,4.0,0.0,1038.0,7265.0,1.0,5.0
121,1921.0,1366.0,11.0,0.0,4.0,0.0,1038.0,7313.0,1.0,5.0
122,1875.0,1369.0,13.0,0.0,5.0,0.0,1038.0,7361.0,0.0,5.0
123,1829.0,1370.0,12.0,0.0,4.0,0.0,1040.0,7411.0,0.0,5.0
124,1781.0,1373.0,15.0,0.0,5.0,0.0,1040.0,7461.0,2.0,5.0
125,1736.0,1379.0,21.0,0.0,8.0,0.0,1040.0,7511.0,4.0,5.0
126,1692.0,1382.0,23.0,0.0,7.0,0.0,1041.0,7561.0,6.0,5.0
127,1642.0,1385.0,23.0,0.0,9.0,0.0,1042.0,7611.0,5.0,5.0
128,1593.0,1387.0,23.0,0.0,10.0,0.0,1042.0,7661.0,3.0,5.0
129,1548.0,1391.0,24.0,0.0,10.0,0.0,1043.0,7709.0,3.0,5.0
130,1501.0,1393.0,24.0,0.0,13.0,0.0,1044.0,7759.0,3.0,5.0
131,1471.0,1393.0,23.0,0.0,13.0,0.0,1045.0,7791.0,3.0,5.0
132,1468.0,1398.0,23.0,0.0,12.0,0.0,1048.0,7791.0,3.0,5.0
133,1463.0,1407.0,31.0,0.0,14.0,0.0,1048.0,7791.0,6.0,5.0
134,1462.0,1409.0,30.0,0.0,13.0,0.0,1051.0,7791.0,7.0,5.0
135,1462.0,1412.0,30.0,0.0,13.0,0.0,1052.0,7791.0,8.0,5.0
136,1459.0,1420.0,33.0,0.0,12.0,0.0,1053.0,7791.0,9.0,5.0
137,1457.0,1424.0,32.0,0.0,11.0,0.0,1057.0,7791.0,10.0,5.0
138,1455.0,1428.0,32.0,3.0,12.0,0.0,1058.0,7791.0,9.0,5.0
139,1454.0,1430.0,27.0,3.0,11.0,0.0,1060.0,7791.0,5.0,5.0
140,1452.0,1433.0,26.0,3.0,9.0,0.0,1062.0,7791.0,4.0,5.0
141,1450.0,1436.0,25.0,3.0,10.0,0.0,1064.0,7791.0,3.0,5.0
142,1449.0,1439.0,26.0,3.0,11.0,0.0,1065.0,7791.0,4.0,5.0
143,1444.0,1446.0,32.0,4.0,12.0,0.0,1065.0,7791.0,5.0,5.0
144,1444.0,1449.0,31.0,4.0,10.0,0.0,1068.0,7791.0,7.0,5.0
145,1442.0,1452.0,27.0,1.0,10.0,0.0,1073.0,7791.0,6.0,5.0
146,1440.0,1456.0,28.0,3.0,9.0,0.0,1074.0,7791.0,6.0,5.0
147,1438.0,1459.0,28.0,3.0,10.0,0.0,1074.0,7791.0,4.0,5.0
148,1434.0,1464.0,29.0,3.0,12.0,0.0,1077.0,7791.0,4.0,5.0
149,1432.0,1469.0,30.0,3.0,10.0,0.0,1079.0,7791.0,5.0,5.0
