,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84226,322,322,0,0,0,0,15452,0,0
1,83656,401,401,0,0,0,0,15951,8,0
2,83068,500,500,0,0,0,0,16447,15,0
3,82455,626,626,0,0,0,0,16945,26,0
4,81817,782,774,0,0,0,0,17443,34,0
5,81187,927,912,0,0,0,0,17940,39,0
6,80514,1125,1099,43,350,0,0,18438,51,0
7,79866,1304,1262,54,431,0,0,18935,63,0
8,79207,1483,1429,65,535,0,0,19431,67,0
9,78547,1669,1592,79,661,0,0,19925,64,0
10,77887,1856,1751,94,779,0,0,20416,54,0
11,77212,2062,1941,115,933,0,0,20910,63,0
12,76551,2264,2123,130,1069,0,0,21403,77,0
13,75892,2465,1972,102,867,59,334,21894,92,0
14,75235,2664,2067,112,931,72,413,22379,94,0
15,74553,2887,2166,124,973,97,503,22865,87,0
16,73885,3101,2234,124,1014,124,616,23357,92,0
17,73224,3307,2299,125,1048,143,730,23841,94,0
18,72550,3534,2359,118,1048,178,870,24328,107,0
19,71903,3742,2397,120,1067,197,1002,24809,111,0
20,71196,3987,2414,133,1087,161,1178,25296,107,23
21,70527,4200,2434,130,1100,174,1328,25781,96,26
22,69861,4414,2442,129,1109,179,1484,26266,87,34
23,69209,4609,2430,132,1112,178,1663,26755,94,37
24,68537,4839,2469,133,1109,184,1817,27238,106,45
25,67900,5030,2458,138,1156,183,1978,27722,111,53
26,67248,5235,2466,146,1160,190,2138,28199,109,58
27,66605,5449,2447,132,1159,194,2325,28676,116,63
28,65946,5683,2472,131,1147,199,2486,29142,119,73
29,65279,5910,2498,135,1155,205,2647,29618,125,83
30,64638,6109,2462,131,1125,205,2824,30100,117,93
31,64014,6288,2429,132,1133,200,2985,30571,102,103
32,63400,6478,2366,128,1083,203,3193,31041,112,112
33,62783,6663,2335,114,1106,211,3363,31509,108,118
34,62153,6874,2349,120,1110,221,3524,31980,134,128
35,61536,7055,2324,112,1114,224,3673,32459,131,139
36,60938,7229,2267,97,1093,218,3854,32924,136,153
37,60322,7424,2254,98,1083,215,4003,33389,128,160
38,59743,7593,2211,97,1058,221,4165,33846,132,167
39,59158,7767,2169,107,1041,212,4324,34300,134,183
40,58560,7950,2109,105,988,206,4509,34759,134,197
41,57949,8124,2038,103,932,199,4695,35238,126,209
42,57363,8301,2007,110,917,193,4846,35697,129,223
43,56802,8439,1950,107,889,195,4989,36159,121,231
44,56231,8582,1909,104,879,194,5124,36620,114,241
45,55679,8727,1855,99,874,190,5269,37071,107,249
46,55128,8854,1788,95,854,191,5418,37534,100,258
47,54559,9002,1770,102,840,195,5542,37998,108,268
48,53981,9161,1750,99,812,188,5675,38463,106,275
49,53442,9288,1701,98,773,192,5813,38914,106,284
50,52891,9417,1659,100,755,183,5931,39374,100,297
51,52337,9567,1636,105,717,178,6059,39827,102,305
52,51775,9704,1603,101,690,176,6191,40297,109,314
53,51233,9832,1551,95,683,165,6327,40757,112,324
54,50680,9970,1504,85,660,150,6461,41216,104,336
55,50143,10090,1481,83,655,145,6558,41679,102,346
56,49580,10223,1452,77,661,131,6671,42151,93,358
57,49054,10355,1440,76,657,124,6780,42615,110,362
58,48511,10469,1425,66,660,127,6872,43086,99,365
59,47962,10604,1431,73,652,134,6966,43554,115,372
60,47418,10728,1388,66,623,137,7082,44023,103,375
61,46902,10823,1357,74,622,132,7184,44489,109,376
62,46370,10939,1335,71,614,133,7267,44955,95,387
63,45865,11037,1286,72,593,133,7374,45421,90,391
64,45341,11138,1259,74,581,135,7468,45900,96,396
65,44830,11243,1242,80,572,134,7553,46363,98,403
66,44317,11352,1197,70,541,118,7662,46833,103,417
67,43814,11452,1171,72,539,113,7746,47294,101,424
68,43284,11596,1180,63,510,115,7844,47763,114,429
69,42794,11682,1144,59,496,113,7927,48220,106,432
70,42289,11778,1116,55,482,113,8014,48684,99,436
71,41789,11887,1087,50,469,111,8098,49150,94,445
72,41277,11999,1079,43,455,107,8185,49612,96,450
73,40787,12090,1079,52,479,108,8246,50081,98,454
74,40307,12177,1040,53,450,108,8326,50548,85,460
75,39819,12248,1013,54,452,107,8391,51018,78,463
76,39343,12331,995,55,454,100,8460,51486,80,467
77,38842,12436,991,61,457,91,8537,51964,88,472
78,38353,12523,981,59,449,90,8609,52422,87,474
79,37856,12612,976,63,438,93,8666,52900,90,481
80,37381,12682,916,53,397,97,8758,53366,74,484
81,36905,12763,910,46,399,90,8818,53836,78,489
82,36423,12850,890,46,399,86,8891,54317,79,490
83,35945,12934,888,43,398,88,8955,54786,82,493
84,35478,13021,869,34,381,90,9033,55256,94,495
85,35014,13078,825,39,364,86,9095,55727,79,500
86,34529,13171,825,34,364,75,9157,56201,92,509
87,34050,13245,806,35,368,68,9205,56676,83,516
88,33583,13313,798,36,376,64,9257,57152,94,521
89,33106,13364,745,37,354,65,9322,57634,79,525
90,32614,13442,728,40,324,64,9384,58110,77,529
91,32116,13512,709,40,326,61,9442,58597,64,530
92,31640,13575,701,41,319,61,9490,59081,73,533
93,31150,13644,690,40,303,63,9542,59565,73,534
94,30670,13716,694,39,282,65,9593,60052,83,534
95,30203,13769,660,35,275,69,9648,60540,77,537
96,29735,13828,641,34,280,67,9695,61022,77,541
97,29252,13887,634,30,280,66,9733,61503,67,542
98,28777,13954,618,33,261,64,9792,61982,71,543
99,28305,14011,596,32,262,57,9840,62464,69,547
100,27825,14068,594,34,252,53,9877,62953,73,552
101,27345,14135,598,36,251,48,9908,63436,74,557
102,26889,14180,566,40,238,47,9957,63914,70,560
103,26396,14250,564,40,225,49,10004,64401,77,564
104,25914,14305,553,41,222,45,10039,64889,69,567
105,25448,14370,552,38,219,42,10081,65379,85,570
106,24968,14425,536,31,220,44,10123,65863,78,571
107,24500,14480,541,28,217,44,10151,66348,74,573
108,24025,14534,525,25,230,43,10182,66838,60,575
109,23546,14595,521,22,226,41,10224,67330,65,577
110,23074,14641,505,17,219,35,10267,67820,73,580
111,22632,14690,498,18,220,34,10299,68296,72,581
112,22178,14741,488,19,222,35,10333,68777,71,582
113,21700,14791,475,23,210,35,10371,69263,61,583
114,21248,14843,480,25,219,34,10394,69743,69,585
115,20809,14904,477,25,199,37,10430,70222,73,588
116,20362,14947,471,24,192,37,10461,70702,79,592
117,19926,14996,463,26,188,38,10485,71183,72,595
118,19451,15039,445,25,191,40,10516,71674,65,596
119,19004,15084,434,25,174,43,10551,72159,65,597
120,18538,15123,421,22,178,45,10577,72651,62,600
121,18084,15159,398,21,167,43,10613,73134,55,601
122,17619,15202,395,20,172,39,10636,73626,50,604
123,17177,15238,387,19,167,42,10658,74110,48,606
124,16716,15283,387,19,166,38,10687,74596,51,607
125,16262,15322,372,21,147,35,10723,75085,50,610
126,15809,15356,364,19,148,33,10745,75577,48,612
127,15345,15396,354,20,143,33,10776,76072,45,613
128,14901,15435,359,20,138,36,10794,76563,51,615
129,14442,15480,363,20,139,37,10818,77055,51,616
130,13981,15526,371,25,138,35,10836,77543,60,621
131,13684,15571,373,24,132,37,10859,77857,68,621
132,13661,15611,376,20,142,35,10879,77857,69,622
133,13635,15651,368,21,139,32,10901,77857,59,624
134,13618,15690,343,17,144,24,10936,77857,53,625
135,13590,15739,353,17,148,20,10956,77857,57,627
136,13566,15782,357,17,138,22,10978,77857,62,630
137,13549,15818,343,17,136,19,11004,77857,59,632
138,13536,15845,332,18,143,20,11021,77857,52,632
139,13518,15868,313,19,134,22,11044,77857,38,632
140,13496,15909,320,19,143,26,11059,77857,38,632
141,13480,15940,311,21,136,29,11085,77857,39,632
142,13464,15972,319,19,133,32,11103,77857,50,633
143,13441,16013,320,17,131,28,11122,77857,49,635
144,13427,16039,309,13,130,29,11144,77857,46,635
145,13407,16076,303,14,125,28,11171,77857,47,635
146,13387,16107,299,12,126,28,11187,77857,40,636
147,13378,16128,275,13,113,23,11219,77857,40,637
148,13370,16149,256,13,112,24,11241,77857,36,638
149,13360,16168,249,12,110,26,11254,77857,34,640
150,13349,16190,245,13,116,25,11267,77857,33,641
151,13340,16209,229,15,116,21,11287,77857,30,643
152,13325,16231,218,12,106,19,11310,77857,28,644
153,13316,16252,210,11,99,17,11326,77857,29,646
154,13307,16269,203,8,96,19,11340,77857,27,646
155,13297,16288,191,7,85,18,11363,77857,29,647
156,13284,16312,185,8,79,14,11380,77857,28,648
157,13272,16332,178,8,74,15,11399,77857,28,648
158,13261,16353,170,5,66,15,11419,77857,29,648
159,13251,16380,178,4,67,16,11426,77857,35,649
160,13240,16401,183,5,68,16,11432,77857,37,651
161,13230,16422,183,5,71,15,11443,77857,38,651
162,13218,16446,176,4,73,12,11456,77857,33,652
163,13208,16463,172,4,75,10,11467,77857,30,652
164,13196,16480,161,6,68,8,11483,77857,24,653
165,13184,16502,162,7,69,8,11492,77857,22,653
166,13168,16528,170,8,69,6,11503,77857,25,653
167,13158,16546,174,8,71,7,11512,77857,28,653
168,13144,16569,174,8,68,7,11524,77857,27,654
169,13139,16583,170,9,67,11,11532,77857,26,654
170,13131,16598,166,8,69,11,11543,77857,25,654
171,13119,16620,170,5,78,12,11551,77857,26,655
172,13109,16638,168,7,75,12,11561,77857,25,656
173,13099,16656,170,10,76,13,11570,77857,26,656
174,13089,16674,165,10,69,12,11581,77857,24,658
175,13077,16693,167,10,67,13,11590,77857,23,658
176,13063,16715,167,10,67,11,11602,77857,23,660
177,13053,16734,168,10,65,13,11612,77857,24,660
178,13046,16752,164,10,59,14,11625,77857,28,662
179,13030,16775,169,8,61,14,11635,77857,27,662
180,13017,16793,164,5,62,14,11649,77857,23,662
181,13005,16814,168,4,72,13,11654,77857,21,663
182,12993,16835,171,4,74,10,11664,77857,23,664
183,12978,16860,179,4,69,10,11675,77857,28,665
184,12967,16884,183,6,73,9,11684,77857,32,667
185,12955,16904,181,8,74,6,11695,77857,31,669
186,12946,16926,183,8,76,6,11705,77857,34,669
187,12930,16947,179,7,77,6,11716,77857,26,670
188,12921,16961,174,11,74,9,11726,77857,23,671
189,12911,16978,170,12,74,11,11734,77857,17,671
190,12904,16991,171,12,79,11,11740,77857,18,672
191,12894,17009,173,10,74,16,11751,77857,21,672
192,12881,17028,173,9,78,17,11763,77857,20,672
193,12873,17041,169,8,76,18,11773,77857,19,673
194,12857,17065,172,8,74,17,11785,77857,19,674
195,12849,17083,170,5,69,18,11798,77857,23,675
196,12835,17105,175,3,70,17,11809,77857,26,676
197,12821,17129,179,3,71,17,11821,77857,28,676
198,12810,17151,176,4,69,11,11834,77857,29,678
199,12795,17175,180,6,67,15,11846,77857,30,678
200,12783,17198,183,6,66,14,11856,77857,31,678
201,12772,17218,184,6,70,16,11864,77857,29,678
202,12762,17237,183,6,77,12,11873,77857,29,680
203,12756,17248,173,8,76,12,11883,77857,23,680
204,12746,17264,169,8,78,14,11894,77857,20,680
205,12739,17282,170,8,82,14,11902,77857,22,680
206,12731,17297,160,8,77,10,11921,77857,24,681
207,12721,17313,163,10,77,11,11928,77857,24,681
208,12713,17329,156,13,66,13,11939,77857,21,682
209,12705,17345,150,13,62,12,11953,77857,22,683
210,12694,17363,151,11,60,12,11964,77857,23,683
211,12680,17388,152,11,53,11,11979,77857,26,684
212,12675,17397,143,11,51,13,11989,77857,22,684
213,12667,17414,142,8,51,13,12000,77857,24,684
214,12657,17434,139,8,49,11,12012,77857,23,684
215,12646,17449,141,7,55,8,12020,77857,23,685
216,12635,17470,146,7,59,11,12027,77857,24,685
217,12625,17488,147,8,56,11,12033,77857,22,686
218,12614,17504,150,7,57,10,12041,77857,23,687
219,12604,17523,147,7,57,8,12053,77857,22,687
220,12596,17540,148,9,58,8,12060,77857,23,688
221,12589,17561,156,11,59,8,12068,77857,32,688
222,12585,17569,145,10,59,9,12077,77857,27,689
223,12577,17585,136,12,54,7,12091,77857,26,691
224,12559,17614,146,13,58,7,12096,77857,23,691
225,12549,17630,148,13,58,5,12105,77857,25,692
226,12538,17648,149,13,55,6,12114,77857,24,692
227,12531,17664,143,12,49,6,12124,77857,22,693
228,12524,17680,144,8,50,8,12133,77857,25,693
229,12514,17696,142,8,58,7,12142,77857,24,695
230,12504,17722,148,6,59,7,12153,77857,31,695
231,12494,17738,147,5,61,9,12161,77857,28,695
232,12482,17758,153,8,57,9,12169,77857,30,695
233,12469,17782,155,8,57,10,12175,77857,25,695
234,12451,17809,171,9,62,9,12179,77857,28,696
235,12438,17830,175,9,64,8,12188,77857,28,696
236,12419,17864,180,9,56,8,12205,77857,32,697
237,12405,17887,184,11,56,8,12214,77857,32,698
238,12395,17912,191,14,55,9,12223,77857,39,699
239,12385,17937,194,12,68,9,12230,77857,39,699
240,12374,17963,204,14,72,9,12236,77857,45,700
241,12358,17991,208,14,81,10,12245,77857,42,700
242,12349,18018,209,15,84,9,12256,77857,45,700
243,12336,18040,206,14,85,9,12266,77857,39,700
244,12325,18059,201,12,85,9,12277,77857,35,701
245,12319,18075,182,9,86,5,12292,77857,27,703
246,12307,18095,176,9,84,6,12309,77857,26,703
247,12297,18111,170,9,80,5,12323,77857,24,703
248,12284,18134,168,8,75,9,12337,77857,24,704
249,12276,18147,162,7,73,12,12348,77857,21,704
250,12267,18177,177,8,68,13,12357,77857,36,704
251,12255,18202,181,9,69,12,12368,77857,39,704
252,12250,18215,180,9,68,14,12377,77857,42,704
253,12244,18226,155,11,63,15,12392,77857,26,704
254,12235,18246,155,9,64,17,12399,77857,24,704
255,12225,18263,147,8,61,13,12414,77857,23,706
256,12216,18279,145,9,61,11,12426,77857,25,707
257,12205,18298,148,8,61,12,12429,77857,22,709
258,12192,18318,150,6,57,13,12440,77857,22,709
259,12179,18337,152,5,57,13,12450,77857,21,709
260,12168,18363,158,2,57,14,12460,77857,28,711
261,12156,18385,164,2,58,13,12469,77857,31,711
262,12152,18402,168,3,59,15,12476,77857,38,711
263,12139,18422,162,4,59,16,12487,77857,30,711
264,12131,18437,159,5,66,13,12495,77857,27,711
265,12114,18467,170,5,71,13,12500,77857,27,712
266,12102,18491,182,8,71,17,12505,77857,32,712
267,12093,18508,180,8,65,15,12517,77857,33,712
268,12086,18521,171,7,70,15,12525,77857,26,713
269,12074,18541,166,6,68,13,12538,77857,22,713
270,12062,18559,161,4,74,11,12551,77857,20,715
271,12052,18576,160,5,72,12,12563,77857,21,715
272,12049,18587,151,6,69,11,12575,77857,21,715
273,12041,18601,145,3,67,9,12586,77857,21,718
274,12032,18620,153,4,74,9,12589,77857,24,719
275,12022,18636,147,6,71,8,12603,77857,22,719
276,12015,18650,146,8,71,7,12612,77857,23,719
277,12004,18668,138,9,56,8,12628,77857,20,719
278,11995,18686,139,8,53,9,12638,77857,23,720
279,11987,18700,141,8,53,13,12643,77857,22,720
280,11969,18721,144,8,56,9,12653,77857,18,721
281,11954,18744,145,7,52,8,12665,77857,17,722
282,11940,18766,150,6,52,9,12676,77857,19,722
283,11929,18786,158,5,52,10,12685,77857,25,722
284,11918,18807,168,5,57,10,12688,77857,27,722
285,11907,18823,166,5,67,8,12698,77857,24,722
286,11903,18832,153,5,73,4,12709,77857,20,724
287,11890,18852,154,7,75,5,12718,77857,17,724
288,11884,18862,152,10,76,5,12725,77857,16,724
289,11876,18878,151,11,75,4,12736,77857,19,725
290,11869,18890,147,11,77,4,12745,77857,17,725
291,11858,18908,154,10,74,5,12752,77857,20,725
292,11850,18920,145,12,67,10,12765,77857,16,725
293,11840,18937,144,11,59,12,12778,77857,18,725
294,11825,18963,148,11,53,11,12793,77857,22,725
295,11809,19002,173,9,51,12,12803,77857,41,725
296,11797,19022,175,7,53,12,12814,77857,42,725
297,11787,19039,173,8,49,15,12821,77857,38,726
298,11780,19059,164,8,55,13,12826,77857,28,727
