,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84239.3,308.7,308.7,0.0,0.0,0.0,0.0,15452.0,0.0,0.0
1,83678.3,378.35,378.35,0.0,0.0,0.0,0.0,15950.1,6.75,0.0
2,83097.6,469.0,469.0,0.0,0.0,0.0,0.0,16448.2,14.8,0.0
3,82498.6,581.35,581.35,0.0,0.0,0.0,0.0,16946.05,26.0,0.0
4,81887.45,709.55,702.8,0.0,0.0,0.0,0.0,17441.85,32.1,0.0
5,81256.25,860.5,845.7,0.0,0.0,0.0,0.0,17938.0,39.95,0.0
6,80603.3,1036.0,1010.0,35.85,335.75,0.0,0.0,18434.3,47.6,0.0
7,79974.95,1187.5,1148.65,44.1,410.1,0.0,0.0,18928.95,52.55,0.0
8,79335.4,1349.25,1294.5,55.9,499.45,0.0,0.0,19424.4,54.3,0.0
9,78687.85,1523.1,1449.5,67.6,603.1,0.0,0.0,19918.55,55.9,0.0
10,78042.2,1696.1,1604.7,80.65,725.1,0.0,0.0,20412.3,59.2,0.0
11,77388.3,1880.55,1771.5,96.8,865.6,0.0,0.0,20904.55,64.35,0.0
12,76735.6,2066.25,1936.75,109.8,986.3,0.0,0.0,21396.55,68.9,0.0
13,76078.4,2260.65,1796.75,87.7,780.9,58.3,313.3,21886.75,75.2,0.0
14,75423.4,2455.5,1900.9,94.45,844.95,73.0,381.2,22376.25,81.75,0.0
15,74764.85,2650.15,1987.2,99.55,890.6,90.8,464.55,22865.05,81.65,0.0
16,74102.1,2852.35,2066.2,104.35,932.1,110.35,560.35,23354.95,83.6,0.0
17,73447.6,3047.3,2117.95,107.85,954.25,131.55,674.2,23842.8,82.55,0.0
18,72791.2,3247.65,2162.25,107.5,964.95,157.05,805.35,24330.25,89.05,0.0
19,72135.45,3449.15,2221.7,111.2,993.05,178.05,918.05,24816.55,91.75,0.0
20,71473.65,3656.1,2220.7,112.5,1017.4,142.5,1078.35,25302.2,94.25,19.35
21,70813.65,3866.15,2256.3,115.5,1033.85,152.85,1216.25,25786.35,97.05,24.5
22,70162.55,4073.05,2286.1,115.25,1048.85,159.7,1355.75,26268.9,103.35,30.05
23,69513.95,4273.55,2299.85,115.9,1055.5,165.4,1505.25,26752.05,107.6,36.5
24,68861.65,4481.7,2315.75,116.95,1063.2,168.05,1655.05,27234.05,111.25,44.75
25,68218.65,4682.1,2314.65,119.45,1069.85,171.9,1810.45,27713.55,109.8,52.5
26,67580.55,4878.5,2315.65,118.8,1080.85,177.05,1964.55,28193.75,113.25,58.75
27,66941.85,5073.4,2307.55,118.65,1079.8,181.65,2123.1,28672.55,110.4,65.35
28,66302.55,5272.3,2300.0,117.0,1074.05,184.95,2284.65,29149.7,110.25,73.35
29,65667.4,5467.05,2292.85,117.05,1077.65,188.2,2440.4,29627.25,108.9,81.0
30,65038.9,5655.9,2278.25,117.15,1072.1,188.7,2600.75,30103.95,110.95,89.1
31,64411.0,5846.75,2264.75,116.0,1061.7,190.55,2759.8,30578.75,111.95,97.65
32,63785.35,6036.7,2238.15,113.85,1047.6,187.3,2929.85,31054.15,114.5,107.0
33,63168.25,6219.6,2209.8,112.6,1035.15,188.95,3095.7,31528.0,117.1,115.35
34,62549.15,6402.65,2188.15,112.65,1024.15,190.55,3253.25,32001.3,116.6,124.75
35,61934.3,6586.15,2166.2,110.8,1012.35,190.25,3409.25,32476.15,120.4,134.5
36,61331.6,6760.75,2130.95,110.15,995.8,190.35,3569.8,32943.2,119.7,144.15
37,60725.75,6935.9,2104.8,108.0,984.7,189.8,3725.3,33411.65,120.2,152.7
38,60127.1,7107.45,2075.25,107.05,971.0,190.1,3874.6,33878.0,115.95,161.0
39,59533.6,7279.05,2047.4,106.05,957.9,189.5,4027.85,34340.4,117.5,168.25
40,58944.9,7442.8,2009.55,104.9,936.9,187.8,4182.65,34803.85,118.25,177.3
41,58354.6,7602.8,1968.55,104.65,915.2,183.65,4334.45,35271.65,115.05,187.25
42,57768.25,7763.85,1933.9,103.7,901.75,180.25,4480.35,35736.95,112.35,196.55
43,57186.55,7923.95,1900.0,99.5,885.15,177.85,4626.0,36201.0,114.4,206.4
44,56604.65,8083.1,1870.75,97.15,868.35,175.75,4769.0,36663.95,116.0,215.75
45,56027.75,8241.8,1845.4,94.1,853.4,172.75,4907.3,37124.85,117.35,223.7
46,55453.15,8395.65,1810.65,91.35,834.3,170.5,5046.4,37588.55,114.7,232.65
47,54881.7,8546.55,1782.45,89.85,819.05,169.05,5178.55,38054.6,116.9,241.95
48,54309.9,8699.65,1757.95,86.45,806.35,166.25,5309.0,38518.2,116.5,249.95
49,53749.25,8842.15,1723.75,83.4,793.5,164.85,5439.55,38982.65,116.8,258.2
50,53193.85,8976.85,1681.5,83.95,780.2,160.05,5567.85,39447.1,112.65,267.0
51,52642.7,9114.4,1647.45,82.1,766.9,158.3,5692.6,39907.1,111.15,275.1
52,52088.15,9248.1,1614.95,80.3,754.5,155.55,5813.05,40373.25,108.9,282.65
53,51538.7,9375.55,1578.6,79.85,745.35,151.4,5933.1,40839.45,107.1,290.7
54,50995.15,9502.8,1540.4,77.2,729.05,146.45,6053.1,41302.35,105.9,298.9
55,50449.0,9628.75,1509.95,76.4,709.3,145.55,6166.55,41769.25,104.4,305.9
56,49905.15,9753.0,1476.9,76.15,688.35,143.65,6282.05,42235.6,105.5,313.8
57,49371.2,9875.75,1444.65,74.45,668.25,144.25,6393.4,42697.65,106.1,321.4
58,48837.5,9989.7,1406.2,72.0,648.3,142.25,6504.15,43165.9,105.6,328.6
59,48311.65,10098.65,1368.45,70.7,629.75,141.6,6608.5,43630.05,103.1,335.95
60,47780.35,10208.75,1327.65,68.15,609.45,141.7,6716.35,44099.9,99.2,342.35
61,47252.95,10317.95,1295.45,67.75,594.8,138.55,6817.9,44568.75,98.15,348.25
62,46729.2,10425.3,1266.4,65.7,583.95,133.65,6914.15,45037.85,97.3,355.9
63,46208.1,10528.5,1230.5,62.55,566.8,127.6,7013.0,45506.95,95.8,363.4
64,45694.05,10629.05,1193.55,60.25,547.8,120.75,7110.2,45973.5,93.9,370.8
65,45183.85,10731.45,1165.75,59.0,532.85,115.75,7202.4,46438.0,93.1,377.15
66,44675.1,10830.4,1136.6,57.75,519.2,110.1,7292.95,46903.95,92.55,383.45
67,44175.7,10923.45,1101.15,56.1,505.05,104.1,7384.4,47368.55,91.8,389.5
68,43672.8,11020.6,1075.2,53.55,490.3,101.1,7471.45,47834.5,91.85,394.7
69,43174.4,11114.45,1049.25,51.9,475.4,98.1,7555.0,48297.45,91.05,400.25
70,42672.8,11206.35,1029.5,51.6,467.25,96.7,7631.3,48765.2,89.65,405.35
71,42178.75,11292.0,1005.3,49.7,460.95,94.2,7705.6,49234.05,88.25,410.0
72,41685.45,11378.8,984.15,49.1,447.0,93.5,7778.2,49700.45,87.1,415.45
73,41194.9,11464.6,963.7,47.05,439.0,92.4,7850.85,50166.3,85.5,420.2
74,40704.8,11550.9,943.95,45.25,429.05,91.55,7923.4,50634.9,85.2,424.2
75,40212.85,11631.75,923.0,45.85,419.55,90.45,7991.75,51106.2,83.85,428.9
76,39728.25,11712.0,904.05,44.7,407.3,88.05,8059.7,51574.0,85.0,432.9
77,39237.25,11792.7,881.55,43.3,395.2,85.6,8129.45,52047.35,83.1,437.15
78,38752.8,11871.25,863.95,43.15,385.65,85.1,8194.95,52515.1,82.05,440.4
79,38270.05,11949.35,848.2,42.05,381.05,82.45,8255.45,52984.95,80.35,445.35
80,37789.0,12025.0,827.25,41.35,368.95,79.4,8320.7,53456.2,79.45,449.4
81,37304.75,12104.9,815.0,41.2,357.0,77.55,8382.8,53929.8,81.8,453.1
82,36824.5,12181.0,799.1,38.55,350.0,75.3,8444.8,54402.6,81.6,456.4
83,36346.75,12255.4,790.2,37.6,347.0,74.55,8498.1,54874.6,81.2,460.0
84,35871.95,12329.4,774.7,37.55,340.4,71.8,8556.05,55349.4,80.3,462.85
85,35397.4,12399.05,757.25,36.25,332.4,69.75,8612.9,55823.3,78.9,466.6
86,34926.1,12468.7,740.2,36.85,325.9,66.15,8669.7,56295.7,79.15,470.5
87,34455.7,12532.95,721.9,37.55,321.35,64.85,8721.5,56770.75,76.05,473.45
88,33971.0,12597.95,706.85,36.15,319.3,61.75,8772.8,57252.45,75.8,477.1
89,33484.95,12663.7,691.2,36.35,311.9,60.0,8824.3,57735.65,75.25,480.75
90,33000.35,12726.8,675.45,36.15,304.45,58.05,8874.9,58218.5,74.5,484.3
91,32512.15,12791.6,663.8,34.75,297.85,57.85,8923.7,58704.2,73.35,487.1
92,32026.35,12853.2,649.8,34.65,288.25,57.2,8970.3,59189.9,72.25,490.4
93,31545.45,12915.8,637.8,32.25,279.6,57.75,9018.45,59672.4,73.25,492.9
94,31067.4,12973.05,621.6,30.8,271.5,57.6,9064.95,60156.2,71.45,496.15
95,30583.25,13030.6,607.8,30.2,262.85,59.25,9109.8,60643.05,68.75,498.05
96,30106.35,13089.35,594.15,29.05,258.9,58.0,9153.85,61127.95,67.5,501.45
97,29628.35,13144.2,581.35,28.15,252.25,56.8,9196.9,61612.25,67.3,504.15
98,29150.3,13199.1,569.35,27.8,246.85,55.2,9239.45,62096.85,66.8,506.6
99,28676.65,13252.05,556.5,26.55,243.9,52.65,9278.7,62582.1,65.35,509.45
100,28197.9,13305.25,545.8,27.0,238.95,50.6,9318.3,63068.95,63.5,512.05
101,27723.75,13359.4,536.1,25.45,235.5,48.2,9358.4,63555.55,64.35,514.4
102,27251.2,13410.55,523.15,24.75,230.2,45.5,9397.1,64042.6,61.8,517.55
103,26778.25,13460.05,511.8,24.7,222.65,45.6,9435.8,64529.2,61.45,519.85
104,26307.5,13509.05,501.0,23.9,217.15,45.05,9470.85,65016.15,59.55,522.35
105,25835.9,13558.1,491.85,24.15,212.6,44.2,9506.3,65502.85,60.25,525.4
106,25362.5,13610.9,489.4,23.6,209.7,43.8,9539.95,65989.5,63.0,527.5
107,24892.55,13658.85,481.35,23.05,206.05,43.8,9574.2,66476.8,62.15,528.9
108,24419.25,13704.75,471.6,22.35,201.7,43.6,9607.35,66965.5,61.25,531.0
109,23951.25,13753.7,463.95,21.85,197.7,42.4,9639.55,67453.55,59.95,533.15
110,23481.8,13801.9,457.2,20.85,193.85,40.45,9672.9,67941.8,60.55,535.25
111,23017.05,13846.75,450.4,21.1,193.45,39.0,9702.95,68428.1,60.3,537.35
112,22549.4,13891.5,440.35,20.5,189.15,38.5,9734.95,68916.45,58.1,539.2
113,22080.85,13933.65,430.2,20.7,183.45,38.2,9765.55,69404.25,55.75,540.8
114,21622.1,13977.8,422.85,20.1,180.6,37.4,9795.4,69891.35,55.35,543.2
115,21161.2,14021.0,416.15,20.65,178.15,36.25,9824.5,70378.8,53.75,545.25
116,20702.25,14062.75,411.35,20.75,175.0,36.1,9852.1,70866.0,53.25,546.45
117,20244.4,14105.05,405.35,20.9,172.2,35.3,9879.75,71354.65,52.25,548.25
118,19780.35,14147.25,399.75,20.2,166.75,35.2,9908.9,71843.45,52.6,549.75
119,19325.65,14191.55,397.3,19.4,164.4,34.15,9936.45,72330.4,54.55,551.7
120,18864.85,14233.15,393.15,19.25,164.2,32.65,9962.3,72818.95,56.3,553.75
121,18404.25,14273.1,386.5,19.2,160.75,31.55,9989.5,73305.85,55.95,555.65
122,17942.6,14316.4,382.85,18.7,157.6,31.9,10015.85,73794.55,55.2,557.05
123,17481.6,14355.35,375.35,17.7,157.7,30.65,10040.8,74283.75,52.7,558.95
124,17029.0,14397.05,373.5,17.65,156.85,30.25,10065.6,74771.25,54.7,560.55
125,16566.55,14435.6,368.95,17.8,154.3,30.0,10088.4,75262.05,53.95,562.4
126,16108.6,14473.75,364.4,17.5,152.1,29.7,10112.7,75751.45,53.65,563.7
127,15651.7,14511.85,357.25,17.0,151.4,29.65,10137.45,76241.95,52.5,565.05
128,15192.0,14552.0,355.15,16.3,149.45,29.6,10160.5,76731.4,53.45,566.55
129,14735.65,14589.35,350.45,15.95,147.9,28.8,10184.2,77222.0,52.7,568.1
130,14275.4,14629.0,347.45,16.0,144.0,28.85,10207.4,77712.15,52.25,569.55
131,13976.6,14667.5,342.25,15.6,140.65,28.9,10231.15,78025.8,52.05,570.85
132,13957.8,14703.05,338.85,14.7,139.65,28.0,10252.5,78025.8,52.75,572.4
133,13938.05,14738.95,334.55,14.4,138.65,28.15,10273.95,78025.8,51.35,573.6
134,13918.65,14773.85,325.6,13.65,135.85,27.6,10297.9,78025.8,48.4,575.05
135,13896.75,14813.55,325.4,13.7,136.05,26.3,10319.85,78025.8,49.45,576.25
136,13878.6,14846.9,319.0,13.25,134.0,25.25,10341.85,78025.8,48.5,577.85
137,13860.45,14883.2,318.75,13.45,131.75,25.05,10361.85,78025.8,51.15,578.9
