,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84276,260,260,0,0,0,0,15464,0,0
1,83719,333,333,0,0,0,0,15962,14,0
2,83151,408,408,0,0,0,0,16461,20,0
3,82564,508,508,0,0,0,0,16956,28,0
4,81952,636,622,0,0,0,0,17452,26,0
5,81333,772,752,0,0,0,0,17949,34,0
6,80679,963,935,32,287,0,0,18440,54,0
7,80077,1082,1042,41,347,0,0,18938,57,0
8,79441,1237,1183,49,431,0,0,19436,60,0
9,78810,1391,1309,53,543,0,0,19932,51,0
10,78194,1545,1448,67,651,0,0,20424,66,0
11,77559,1712,1598,86,795,0,0,20919,76,0
12,76944,1857,1724,92,893,0,0,21416,84,0
13,76293,2038,1570,72,732,14,305,21906,74,0
14,75664,2204,1641,79,791,15,373,22393,71,0
15,75040,2372,1693,80,822,18,462,22876,71,0
16,74399,2563,1749,94,832,19,577,23361,86,0
17,73797,2698,1745,99,823,26,692,23847,81,0
18,73181,2852,1715,93,827,32,849,24329,74,0
19,72555,3030,1758,100,858,36,949,24807,69,0
20,71945,3182,1746,109,852,29,1089,25291,76,5
21,71333,3344,1756,104,878,32,1220,25770,85,6
22,70731,3508,1768,115,859,34,1342,26244,91,6
23,70113,3678,1774,108,860,36,1479,26729,102,7
24,69496,3837,1786,104,894,36,1594,27210,96,10
25,68866,4015,1765,105,858,34,1756,27689,87,11
26,68277,4156,1729,112,842,36,1896,28162,75,11
27,67672,4315,1720,110,831,32,2038,28639,83,14
28,67072,4474,1698,110,808,34,2190,29120,96,16
29,66486,4635,1716,103,835,32,2305,29587,113,19
30,65886,4812,1731,104,851,35,2436,30051,123,19
31,65299,4958,1686,98,825,32,2585,30525,116,21
32,64723,5096,1663,96,829,39,2703,30995,106,22
33,64146,5240,1631,96,815,37,2836,31465,102,24
34,63582,5361,1593,86,816,39,2960,31939,100,26
35,62992,5513,1578,86,819,37,3093,32417,108,28
36,62438,5642,1538,90,792,41,3225,32873,102,28
37,61845,5797,1509,94,743,39,3376,33345,105,30
38,61274,5930,1485,92,736,38,3491,33811,93,32
39,60675,6082,1475,85,705,35,3620,34285,89,34
40,60094,6227,1469,77,706,37,3736,34755,89,35
41,59522,6377,1469,78,684,34,3855,35218,100,38
42,58937,6517,1448,83,664,36,3987,35699,107,40
43,58369,6650,1431,81,658,33,4101,36161,99,42
44,57815,6784,1420,77,681,33,4207,36627,99,42
45,57252,6912,1414,77,685,40,4306,37099,100,43
46,56692,7045,1427,77,706,36,4397,37572,115,46
47,56149,7164,1392,74,703,33,4509,38043,117,49
48,55596,7274,1370,73,713,34,4605,38513,109,50
49,55041,7377,1315,72,688,38,4721,38994,90,51
50,54507,7496,1288,68,680,38,4825,39455,89,52
51,53978,7588,1231,62,653,41,4945,39926,88,54
52,53444,7678,1182,63,619,35,5059,40403,91,57
53,52922,7774,1129,67,587,37,5165,40869,80,60
54,52378,7881,1103,63,566,36,5272,41344,87,60
55,51857,7961,1054,64,537,39,5376,41815,83,60
56,51351,8049,1012,57,515,33,5475,42282,86,62
57,50830,8130,964,53,491,30,5571,42759,80,62
58,50306,8213,935,54,465,31,5659,43234,80,65
59,49789,8284,895,50,465,30,5735,43713,61,68
60,49267,8363,864,52,439,30,5816,44196,57,70
61,48764,8441,840,53,413,30,5896,44671,70,71
62,48262,8516,818,47,394,25,5979,45146,87,72
63,47747,8581,793,44,393,24,6045,45632,78,73
64,47243,8650,766,45,385,27,6106,46106,66,74
65,46717,8723,735,41,378,20,6175,46589,57,79
66,46206,8790,714,41,348,20,6248,47067,60,80
67,45713,8838,680,32,343,19,6307,47542,49,81
68,45208,8910,677,32,338,21,6361,48020,55,81
69,44694,8984,681,34,329,22,6414,48508,60,81
70,44186,9049,670,31,322,19,6478,48987,68,82
71,43674,9118,654,26,319,19,6536,49469,55,82
72,43169,9172,632,26,300,21,6590,49958,53,82
73,42663,9245,641,27,300,20,6634,50440,61,83
74,42145,9319,651,29,305,15,6683,50919,63,84
75,41640,9383,642,26,303,13,6735,51409,66,85
76,41137,9447,632,24,313,13,6782,51895,59,85
77,40619,9514,631,27,292,13,6834,52380,59,85
78,40130,9571,613,28,287,11,6885,52865,59,86
79,39625,9633,617,29,307,10,6922,53353,62,87
80,39129,9689,615,27,305,13,6964,53840,69,87
81,38624,9751,604,25,299,15,7014,54333,68,87
82,38131,9793,575,30,299,13,7062,54819,54,87
83,37625,9855,558,30,278,12,7118,55309,53,87
84,37111,9909,558,26,287,14,7150,55802,48,87
85,36617,9959,551,25,275,12,7197,56291,57,88
86,36110,10017,529,29,253,12,7254,56778,53,89
87,35605,10077,528,28,246,9,7296,57266,57,91
88,35121,10122,509,31,239,7,7341,57750,55,92
89,34622,10179,500,30,226,10,7389,58239,60,92
90,34127,10235,501,29,225,10,7423,58732,66,92
91,33635,10291,501,34,221,9,7462,59223,71,93
92,33146,10340,495,34,227,10,7494,59708,64,93
93,32659,10386,474,33,217,10,7532,60200,53,95
94,32185,10423,457,34,217,10,7565,60685,45,95
95,31708,10466,447,32,208,13,7602,61176,50,95
96,31214,10516,441,30,208,10,7641,61671,57,96
97,30707,10567,448,31,208,11,7672,62162,60,96
98,30221,10615,434,29,200,10,7713,62654,57,96
99,29723,10669,426,30,184,10,7752,63149,53,96
100,29218,10724,434,28,179,8,7783,63642,52,96
101,28734,10778,434,29,171,6,7819,64130,56,96
102,28235,10847,453,28,178,4,7850,64623,63,96
103,27747,10886,444,25,176,6,7883,65118,63,96
104,27254,10943,445,26,177,5,7917,65611,58,96
105,26748,10998,444,25,188,5,7947,66109,54,96
106,26265,11048,454,23,198,4,7971,66598,58,97
107,25769,11109,477,18,224,5,7992,67091,72,97
108,25291,11155,475,17,222,6,8018,67583,69,97
109,24783,11207,472,19,225,5,8054,68078,65,97
110,24307,11251,454,22,225,4,8084,68568,56,98
111,23839,11297,445,20,223,3,8120,69059,62,98
112,23365,11345,441,20,213,6,8157,69548,68,98
113,22877,11391,435,24,204,8,8187,70043,67,98
114,22399,11432,407,29,193,7,8231,70537,60,98
115,21918,11471,401,29,191,7,8255,71027,54,98
116,21443,11512,381,26,175,7,8295,71513,49,98
117,20954,11559,377,23,172,7,8328,72003,55,98
118,20466,11601,374,20,169,8,8358,72496,58,98
119,19978,11639,364,17,165,6,8390,72990,60,98
120,19484,11689,362,12,167,5,8417,73481,55,99
121,18990,11730,352,10,157,9,8450,73977,51,99
122,18504,11758,339,10,158,8,8473,74472,45,99
123,18020,11787,329,14,157,9,8493,74967,37,99
124,17536,11826,326,14,150,8,8521,75464,37,99
125,17042,11875,338,19,151,8,8546,75957,41,99
126,16552,11919,348,22,152,8,8569,76450,47,99
127,16070,11958,348,22,144,7,8594,76943,50,99
128,15576,12008,353,22,137,3,8623,77436,61,99
129,15083,12051,356,20,141,3,8646,77928,60,99
130,14599,12087,350,22,148,2,8671,78409,56,99
131,14289,12136,352,23,154,2,8691,78716,56,99
132,14269,12171,339,22,146,1,8723,78716,55,99
133,14256,12203,331,21,143,1,8749,78716,61,100
134,14242,12235,320,22,153,1,8765,78716,52,100
135,14225,12265,317,22,158,1,8783,78716,50,100
136,14206,12298,306,24,153,1,8808,78716,45,100
137,14187,12334,293,21,143,3,8839,78716,44,100
138,14171,12367,287,21,129,4,8865,78716,48,100
139,14156,12390,275,18,124,5,8886,78716,42,100
140,14142,12417,261,18,118,4,8910,78716,38,100
141,14128,12445,245,18,110,4,8937,78716,35,100
142,14118,12469,239,17,107,5,8959,78716,41,100
143,14106,12497,232,15,103,5,8981,78716,44,100
144,14091,12524,223,12,101,3,9001,78716,42,102
145,14073,12561,232,10,104,2,9015,78716,47,102
146,14057,12592,232,11,103,1,9030,78716,46,102
147,14043,12617,228,10,97,1,9047,78716,45,102
148,14019,12648,221,8,92,1,9066,78716,33,102
149,14002,12681,219,7,89,0,9086,78716,34,102
150,13987,12712,223,8,90,0,9102,78716,39,102
151,13967,12741,230,10,89,0,9117,78716,41,102
152,13954,12768,227,9,90,0,9131,78716,39,102
153,13944,12796,225,9,100,0,9145,78716,41,102
154,13924,12831,241,9,107,0,9155,78716,47,102
155,13909,12863,247,11,108,0,9167,78716,50,102
156,13895,12889,240,12,112,0,9182,78716,44,102
157,13879,12917,235,13,106,0,9200,78716,41,102
158,13862,12941,226,10,103,0,9216,78716,31,102
159,13844,12970,229,11,108,0,9230,78716,30,102
160,13826,12999,222,9,101,0,9254,78716,29,102
161,13815,13026,225,9,98,0,9271,78716,38,102
162,13795,13063,236,11,97,0,9286,78716,44,102
163,13782,13083,225,10,95,0,9306,78716,40,102
164,13766,13118,231,9,101,0,9319,78716,43,102
165,13748,13141,227,10,108,0,9329,78716,31,102
166,13726,13181,240,10,99,0,9349,78716,42,102
167,13714,13210,235,13,101,0,9364,78716,40,102
168,13700,13239,245,14,99,0,9378,78716,50,102
169,13682,13267,239,13,100,0,9394,78716,42,102
170,13666,13307,245,13,101,0,9411,78716,49,102
171,13647,13338,243,13,105,0,9429,78716,46,102
172,13639,13355,232,13,99,0,9447,78716,45,102
173,13625,13378,220,14,101,0,9458,78716,30,102
174,13607,13414,224,11,102,0,9478,78716,36,102
175,13595,13442,230,9,107,0,9491,78716,43,102
176,13582,13467,230,9,110,0,9507,78716,46,102
177,13565,13490,217,9,100,0,9525,78716,34,102
178,13549,13519,208,8,93,0,9547,78716,31,102
179,13533,13548,213,9,98,0,9559,78716,32,102
180,13524,13572,217,8,97,0,9573,78716,41,102
181,13508,13599,213,9,91,0,9591,78716,39,102
182,13493,13627,212,9,92,0,9607,78716,39,102
183,13481,13653,204,6,92,0,9626,78716,38,102
184,13461,13685,217,6,100,0,9634,78716,39,102
185,13439,13726,231,6,95,0,9648,78716,45,102
186,13422,13758,231,6,93,0,9666,78716,46,102
187,13403,13805,254,8,94,0,9678,78716,62,102
188,13391,13832,249,8,93,0,9691,78716,58,102
189,13376,13864,249,8,96,0,9708,78716,60,102
190,13353,13902,243,10,100,0,9724,78716,47,102
191,13340,13925,235,12,99,0,9740,78716,42,102
192,13327,13947,231,13,108,0,9749,78716,34,102
193,13307,13978,231,12,105,0,9765,78716,30,102
194,13295,14004,232,11,106,0,9780,78716,34,102
195,13276,14038,245,15,113,0,9792,78716,40,102
196,13255,14068,244,16,105,0,9812,78716,38,102
197,13245,14089,229,18,94,0,9834,78716,35,102
198,13222,14131,239,15,100,0,9851,78716,39,102
199,13205,14161,241,14,94,0,9870,78716,43,102
200,13180,14195,252,14,101,0,9882,78716,41,102
201,13167,14226,249,14,107,0,9897,78716,40,102
202,13153,14255,242,9,99,0,9920,78716,42,102
203,13137,14288,253,11,107,0,9933,78716,50,102
204,13123,14322,256,9,113,0,9946,78716,52,102
205,13101,14359,258,13,114,0,9966,78716,52,102
206,13083,14394,264,12,116,0,9978,78716,52,102
207,13069,14418,249,14,109,0,9997,78716,42,102
208,13049,14456,251,14,104,0,10018,78716,45,102
209,13039,14478,246,15,107,0,10028,78716,40,102
210,13025,14504,239,15,106,0,10051,78716,42,102
211,13013,14525,225,13,109,0,10068,78716,33,102
212,13000,14550,214,11,100,1,10092,78716,33,102
213,12991,14566,205,11,107,1,10105,78716,28,102
214,12980,14592,208,8,106,1,10119,78716,34,102
215,12969,14613,201,7,105,1,10135,78716,32,102
216,12962,14635,202,9,101,1,10149,78716,40,102
217,12953,14651,181,7,94,1,10171,78716,32,102
218,12947,14664,166,7,85,1,10189,78716,29,102
219,12933,14684,156,5,84,0,10204,78716,20,102
220,12924,14704,149,5,75,0,10224,78716,24,102
221,12921,14713,141,5,72,0,10234,78716,23,102
222,12910,14735,143,4,68,0,10248,78716,28,102
223,12904,14746,131,2,64,0,10260,78716,22,102
224,12899,14757,123,6,61,0,10273,78716,22,102
225,12897,14766,112,7,60,0,10282,78716,18,102
226,12892,14776,106,8,51,0,10293,78716,18,102
227,12880,14797,110,8,51,0,10304,78716,21,102
228,12871,14814,113,8,50,0,10311,78716,22,102
229,12862,14831,116,8,46,0,10320,78716,25,102
230,12852,14850,120,7,43,0,10326,78716,25,102
231,12845,14864,112,2,39,0,10340,78716,24,102
232,12836,14879,110,2,42,0,10349,78716,22,102
233,12831,14889,108,2,48,0,10352,78716,18,102
234,12822,14902,103,2,46,0,10363,78716,15,102
235,12815,14920,109,3,49,0,10369,78716,20,102
236,12812,14927,106,3,51,0,10374,78716,19,102
237,12804,14941,114,4,57,0,10376,78716,21,102
238,12800,14955,112,5,56,0,10381,78716,20,102
239,12793,14967,108,5,53,0,10393,78716,21,102
240,12789,14976,102,5,51,0,10402,78716,20,102
241,12785,14983,90,5,45,0,10411,78716,13,102
242,12778,14994,86,4,44,0,10421,78716,12,102
243,12775,15001,81,4,41,0,10428,78716,11,102
244,12767,15012,80,3,40,0,10437,78716,11,102
245,12765,15018,77,2,40,0,10442,78716,11,102
246,12756,15033,79,1,36,0,10451,78716,13,102
247,12750,15043,79,3,34,0,10458,78716,14,102
248,12744,15050,79,3,34,0,10461,78716,11,102
249,12738,15065,80,5,32,0,10469,78716,14,102
250,12730,15080,87,5,30,0,10473,78716,17,102
251,12722,15095,94,6,31,0,10480,78716,23,102
252,12714,15109,95,7,32,0,10484,78716,20,102
253,12706,15123,98,7,34,0,10488,78716,19,102
254,12693,15144,105,5,35,0,10495,78716,20,102
255,12688,15158,110,6,39,0,10498,78716,23,102
256,12679,15172,110,4,41,0,10506,78716,22,102
257,12673,15185,113,5,46,0,10508,78716,21,102
258,12664,15201,111,5,45,0,10517,78716,19,102
259,12659,15211,110,6,51,0,10523,78716,19,102
260,12648,15227,113,9,47,0,10529,78716,17,102
261,12642,15237,110,9,50,0,10535,78716,14,102
262,12634,15253,113,9,48,0,10543,78716,17,102
263,12629,15264,111,12,46,0,10551,78716,18,102
264,12622,15274,109,11,44,0,10559,78716,17,102
265,12613,15296,115,12,46,0,10567,78716,22,102
266,12606,15311,111,10,41,0,10580,78716,24,102
267,12599,15325,117,8,46,0,10585,78716,28,102
268,12591,15340,110,9,41,0,10594,78716,22,102
269,12585,15359,115,9,42,0,10600,78716,27,102
270,12576,15378,118,6,45,0,10609,78716,30,102
271,12561,15396,124,8,45,0,10614,78716,26,102
272,12549,15421,125,6,43,0,10625,78716,26,102
273,12539,15436,124,7,44,0,10631,78716,21,102
274,12529,15456,133,7,42,0,10639,78716,28,102
275,12510,15481,140,6,47,0,10644,78716,21,102
276,12499,15502,149,6,55,0,10651,78716,26,102
277,12489,15519,147,6,58,0,10660,78716,23,102
278,12483,15538,153,5,62,0,10667,78716,30,102
279,12474,15554,152,7,63,0,10674,78716,27,102
280,12462,15574,157,6,75,0,10682,78716,28,102
281,12454,15586,150,6,80,0,10688,78716,19,102
282,12445,15602,150,6,81,0,10697,78716,19,102
283,12438,15613,138,5,73,0,10712,78716,15,102
284,12434,15621,130,5,70,0,10724,78716,15,102
285,12430,15630,122,5,72,0,10734,78716,13,102
286,12422,15648,126,3,72,0,10744,78716,19,102
287,12414,15662,117,3,62,0,10763,78716,21,102
288,12403,15679,118,2,59,0,10774,78716,22,102
289,12398,15695,114,3,52,0,10784,78716,23,102
290,12393,15705,112,3,50,0,10790,78716,22,102
291,12390,15712,104,4,48,0,10799,78716,20,102
292,12386,15722,91,3,45,0,10811,78716,15,102
293,12378,15736,92,5,46,0,10819,78716,16,102
