,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84247.1,299.2,299.2,0.0,0.0,0.0,0.0,15453.7,0.0,0.0
1,83688.65,365.35,365.35,0.0,0.0,0.0,0.0,15952.05,6.05,0.0
2,83115.75,448.9,448.9,0.0,0.0,0.0,0.0,16449.7,14.35,0.0
3,82527.3,550.4,550.4,0.0,0.0,0.0,0.0,16946.5,24.2,0.0
4,81920.0,674.4,668.35,0.0,0.0,0.0,0.0,17443.45,31.8,0.0
5,81297.9,820.2,805.85,0.0,0.0,0.0,0.0,17939.05,42.8,0.0
6,80650.55,992.2,968.0,36.35,322.95,0.0,0.0,18434.65,53.2,0.0
7,80034.55,1128.85,1091.0,44.2,390.35,0.0,0.0,18930.0,55.55,0.0
8,79407.1,1280.2,1223.05,52.85,473.35,0.0,0.0,19424.3,54.45,0.0
9,78775.1,1441.35,1363.95,65.3,571.25,0.0,0.0,19917.9,56.95,0.0
10,78140.3,1607.45,1514.05,77.7,685.35,0.0,0.0,20410.1,64.45,0.0
11,77502.65,1776.95,1665.35,91.8,823.0,0.0,0.0,20902.35,70.35,0.0
12,76860.95,1950.3,1815.95,102.55,932.9,0.0,0.0,21393.7,70.6,0.0
13,76213.8,2131.8,1672.5,78.9,730.4,57.85,301.45,21884.2,71.95,0.0
14,75573.3,2312.65,1764.95,85.7,786.75,68.8,365.75,22371.2,75.2,0.0
15,74943.15,2484.3,1836.9,92.05,831.35,83.75,442.45,22857.65,80.15,0.0
16,74303.2,2669.2,1905.0,94.9,863.55,102.15,534.4,23342.9,85.5,0.0
17,73667.6,2851.6,1953.8,97.55,884.75,122.4,640.65,23827.85,89.9,0.0
18,73038.7,3028.35,1977.85,98.55,888.65,149.4,765.4,24310.55,92.5,0.0
19,72412.7,3203.65,2020.85,103.75,916.3,167.95,867.5,24792.65,93.7,0.0
20,71788.75,3382.1,1999.3,106.2,924.4,132.85,1017.75,25272.7,96.5,18.0
21,71169.95,3554.25,2013.6,106.15,940.75,143.95,1141.5,25753.4,100.0,21.55
22,70554.2,3725.1,2018.35,106.6,948.35,151.85,1271.15,26229.95,100.25,26.6
23,69937.65,3895.1,2012.2,105.4,950.35,155.65,1405.65,26710.0,99.2,33.7
24,69324.25,4064.1,2002.95,106.15,943.15,161.8,1543.0,27188.75,99.5,40.55
25,68712.8,4233.8,1982.8,105.25,931.3,160.25,1693.15,27664.5,101.85,48.6
26,68101.45,4401.95,1970.45,103.8,917.35,166.75,1834.05,28139.75,100.4,54.7
27,67492.85,4570.15,1962.75,102.55,914.1,168.9,1967.7,28614.25,100.15,62.6
28,66886.15,4738.45,1945.8,100.9,897.55,172.35,2112.2,29088.05,101.55,69.35
29,66286.45,4903.85,1928.95,100.1,882.35,172.8,2254.75,29559.0,106.15,77.0
30,65690.65,5065.2,1911.6,100.65,871.3,174.4,2391.75,30031.1,109.7,84.6
31,65091.1,5228.65,1891.95,99.25,864.9,170.6,2531.05,30502.35,109.45,93.0
32,64502.65,5384.85,1864.25,97.8,856.55,167.25,2670.05,30971.5,109.7,101.25
33,63921.1,5533.65,1834.45,96.0,853.15,164.4,2802.9,31441.15,108.95,109.35
34,63344.3,5679.75,1804.7,94.5,844.2,162.9,2935.2,31907.95,109.9,117.75
35,62763.1,5827.2,1773.55,93.8,832.1,157.7,3069.25,32377.25,108.55,125.4
36,62194.45,5965.0,1738.35,91.35,828.2,156.25,3198.2,32843.6,107.15,132.55
37,61621.55,6101.9,1700.6,88.95,814.2,153.4,3329.4,33314.55,106.0,139.9
38,61048.5,6235.6,1660.45,86.6,792.35,151.2,3460.65,33787.25,103.8,146.95
39,60487.95,6360.1,1615.95,84.85,770.0,151.8,3586.0,34255.75,100.75,155.1
