,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84244.35,300.5,300.5,0.0,0.0,0.0,0.0,15455.15,0.0,0.0
1,83681.95,371.7,371.7,0.0,0.0,0.0,0.0,15953.65,7.3,0.0
2,83108.65,457.0,457.0,0.0,0.0,0.0,0.0,16451.2,16.85,0.0
3,82519.75,559.3,559.3,0.0,0.0,0.0,0.0,16948.35,27.4,0.0
4,81918.5,678.0,670.7,0.0,0.0,0.0,0.0,17445.05,34.25,0.0
5,81298.75,820.35,803.5,0.0,0.0,0.0,0.0,17941.1,43.35,0.0
6,80664.15,980.35,952.95,36.15,328.25,0.0,0.0,18436.7,53.8,0.0
7,80050.3,1113.7,1072.15,42.9,397.25,0.0,0.0,18932.5,54.95,0.0
8,79432.95,1252.85,1192.65,51.45,480.45,0.0,0.0,19427.6,53.2,0.0
9,78808.05,1403.25,1322.05,62.25,574.2,0.0,0.0,19922.25,52.35,0.0
10,78183.75,1557.8,1461.3,74.35,685.8,0.0,0.0,20414.45,59.5,0.0
11,77552.55,1720.1,1606.7,88.95,810.2,0.0,0.0,20906.8,66.05,0.0
12,76921.9,1880.05,1746.5,100.15,917.05,0.0,0.0,21399.05,67.45,0.0
13,76296.5,2040.5,1577.95,76.3,698.75,57.85,306.55,21887.9,68.9,0.0
14,75667.5,2204.6,1655.1,82.0,747.55,70.1,370.05,22377.85,70.5,0.0
15,75032.45,2379.2,1730.85,85.25,784.65,84.55,447.35,22865.3,75.95,0.0
16,74403.45,2546.15,1787.3,87.25,816.95,102.5,533.95,23353.2,77.9,0.0
17,73775.8,2717.95,1831.25,88.5,830.4,123.4,636.75,23836.55,80.35,0.0
18,73150.25,2888.35,1858.35,88.1,828.35,146.1,753.05,24322.1,83.75,0.0
19,72528.7,3055.9,1902.05,92.9,844.55,166.15,851.05,24806.0,87.8,0.0
20,71909.35,3224.35,1882.95,96.1,866.7,128.35,990.2,25289.3,92.7,20.9
21,71291.0,3392.75,1898.8,98.1,875.55,136.45,1108.3,25771.05,94.1,24.95
22,70673.1,3565.55,1916.35,101.8,884.05,143.2,1227.9,26250.5,98.55,30.7
23,70061.05,3731.6,1915.0,103.45,883.55,147.05,1356.8,26729.3,98.95,36.8
24,69448.8,3898.55,1912.85,103.9,882.35,148.15,1487.35,27205.7,98.25,43.55
25,68839.9,4061.1,1904.65,102.4,883.35,148.3,1615.3,27684.9,96.75,52.0
26,68233.65,4223.0,1900.55,98.0,885.3,154.15,1741.55,28163.75,98.45,58.95
27,67633.2,4381.05,1882.55,95.4,878.75,156.8,1880.8,28639.6,100.8,64.65
28,67034.6,4537.7,1869.75,94.65,871.65,161.3,2011.1,29114.95,101.35,70.95
29,66445.25,4691.3,1847.1,92.5,865.35,163.85,2145.5,29586.75,102.9,78.3
30,65853.5,4844.55,1828.4,91.35,856.2,165.35,2276.5,30059.5,103.7,85.8
31,65265.8,4991.4,1804.85,89.8,847.5,166.0,2405.1,30534.8,104.75,94.2
32,64685.9,5133.5,1773.5,89.3,836.55,164.65,2534.4,31005.7,101.8,102.3
33,64107.4,5273.8,1739.95,89.65,822.85,161.65,2664.35,31476.95,100.6,111.95
34,63534.2,5414.35,1706.35,88.2,803.4,160.4,2796.8,31945.4,101.95,119.2
35,62960.35,5552.05,1673.9,85.75,791.6,156.6,2925.35,32414.25,101.55,127.7
36,62384.0,5694.95,1644.95,84.55,769.35,153.65,3055.8,32882.2,103.0,136.05
37,61810.8,5829.8,1612.6,82.25,750.95,151.95,3179.6,33354.2,100.85,143.65
38,61237.2,5962.8,1583.8,81.05,732.0,150.25,3301.1,33827.1,100.45,151.25
39,60665.2,6096.5,1555.55,78.35,714.85,147.4,3421.3,34300.4,100.95,158.5
40,60098.85,6224.55,1525.15,77.2,697.75,145.85,3538.25,34769.75,98.35,166.35
41,59536.85,6352.8,1499.7,76.95,688.85,142.0,3652.55,35239.05,99.65,173.45
42,58974.45,6475.75,1465.85,76.35,671.65,139.2,3767.7,35711.3,95.55,180.1
43,58417.8,6595.7,1440.05,74.4,661.9,136.9,3875.0,36183.05,96.6,187.5
44,57863.65,6710.65,1408.65,73.65,652.35,133.15,3981.2,36655.45,93.05,194.05
45,57313.05,6827.6,1383.35,72.35,643.4,129.05,4084.85,37126.6,95.4,201.75
46,56762.8,6940.2,1356.05,71.65,634.0,126.0,4185.8,37599.1,93.25,208.6
47,56218.95,7047.3,1323.3,70.25,622.45,121.2,4288.95,38070.05,92.65,215.25
48,55675.45,7152.4,1286.25,67.95,604.2,120.7,4392.4,38543.0,89.15,220.7
49,55137.6,7255.15,1253.5,65.85,590.0,116.35,4492.05,39014.4,89.95,226.6
50,54603.5,7354.75,1220.35,63.3,575.55,113.75,4589.4,39485.15,89.7,232.55
51,54067.3,7455.05,1190.25,60.55,562.25,111.8,4684.45,39958.55,90.55,238.15
52,53533.2,7550.1,1156.9,57.85,545.6,111.15,4776.55,40431.5,86.5,243.7
53,53001.65,7644.5,1126.8,55.9,528.25,110.5,4865.8,40905.25,85.15,249.75
54,52472.25,7735.6,1093.7,53.65,510.45,108.95,4953.55,41377.65,80.2,255.6
55,51942.95,7828.0,1069.9,51.95,494.7,107.3,5036.95,41851.75,80.3,261.7
56,51420.2,7916.6,1045.4,49.75,481.7,106.95,5117.65,42325.75,81.65,266.25
57,50895.85,8004.05,1020.3,50.1,466.0,103.75,5200.2,42800.75,83.3,270.6
58,50378.7,8089.9,993.3,49.85,450.15,100.35,5281.4,43272.85,84.6,275.45
59,49855.4,8175.25,968.4,50.1,437.7,96.95,5356.3,43748.9,81.05,281.6
60,49332.15,8260.15,947.55,49.8,428.25,93.85,5429.85,44226.0,79.3,286.5
61,48814.2,8343.55,927.85,48.35,417.1,90.85,5500.65,44701.45,77.25,290.7
62,48299.35,8425.4,910.5,46.8,408.4,87.7,5568.9,45177.4,78.55,296.0
63,47784.25,8506.05,893.3,46.1,397.15,85.1,5636.85,45655.35,79.3,300.35
64,47272.9,8583.0,873.5,44.2,390.4,82.75,5702.85,46133.35,78.45,305.05
65,46760.95,8658.9,854.5,42.65,384.75,81.35,5766.85,46611.6,76.45,309.0
66,46239.95,8739.1,840.9,40.75,378.55,79.3,5829.4,47093.05,74.3,313.95
67,45727.05,8816.35,825.0,41.2,367.4,76.95,5892.95,47572.4,75.7,318.35
68,45211.7,8890.8,813.3,40.9,362.65,75.15,5950.3,48054.6,75.45,322.2
69,44699.2,8964.6,798.95,41.05,354.1,71.3,6010.3,48536.3,76.25,326.2
70,44191.75,9035.1,783.85,40.6,347.75,70.05,6065.35,49017.0,74.35,330.15
71,43685.4,9105.2,767.5,39.95,344.75,68.0,6123.55,49499.3,74.35,333.7
72,43177.85,9174.8,750.7,39.75,336.25,65.9,6181.45,49981.75,73.55,337.25
73,42669.75,9246.0,738.1,39.05,329.35,64.15,6236.75,50463.95,73.0,341.05
74,42158.95,9316.25,727.2,36.3,326.05,62.6,6289.3,50948.35,72.1,344.95
75,41651.4,9383.8,714.9,35.65,318.15,61.25,6341.75,51432.3,70.3,348.2
76,41148.6,9449.25,704.1,34.1,313.35,60.9,6391.65,51915.35,69.05,350.4
77,40641.6,9517.05,695.6,33.1,308.85,59.35,6440.2,52399.25,67.2,354.35
78,40137.8,9583.05,685.35,31.75,301.2,61.5,6490.95,52885.0,67.8,357.5
79,39639.65,9645.5,673.3,31.75,297.0,60.55,6539.3,53368.25,66.95,360.75
80,39140.35,9710.15,666.15,32.5,291.7,60.45,6586.05,53853.5,68.45,363.85
81,38640.8,9771.15,655.4,32.05,285.85,60.5,6632.45,54338.95,68.0,366.25
82,38141.6,9833.85,649.4,32.05,285.9,59.65,6676.5,54824.85,69.4,368.85
83,37642.9,9895.65,641.1,32.05,283.55,58.4,6720.45,55310.9,69.6,371.55
84,37146.35,9954.6,631.05,31.75,278.8,57.35,6763.75,55796.95,68.75,374.75
85,36647.4,10016.45,620.45,31.45,273.25,55.4,6809.45,56283.65,68.6,378.05
86,36152.6,10075.75,607.9,29.9,266.85,53.65,6854.75,56769.2,68.05,380.95
87,35655.3,10137.2,601.75,28.6,262.2,52.9,6897.7,57256.15,68.5,383.95
88,35156.75,10197.45,595.0,28.5,257.9,51.75,6939.05,57742.85,65.85,386.3
89,34663.8,10254.85,582.6,27.6,250.25,50.9,6982.75,58230.9,65.8,389.3
90,34170.2,10310.95,573.9,27.2,246.15,51.25,7023.05,58718.0,64.5,391.7
91,33676.8,10368.05,568.85,26.65,242.5,50.15,7061.9,59205.4,65.4,394.35
92,33182.8,10424.0,559.15,26.0,241.3,48.75,7101.55,59693.55,63.25,397.3
93,32687.0,10479.25,555.2,26.35,242.05,48.85,7138.0,60181.75,62.85,399.25
94,32194.35,10533.15,547.05,25.25,238.25,47.6,7175.4,60669.3,62.85,402.35
95,31701.7,10588.5,541.4,23.95,236.7,45.65,7213.05,61158.5,64.5,404.8
96,31211.5,10641.05,534.75,23.95,234.95,44.15,7249.75,61647.4,65.15,406.9
97,30722.25,10693.1,525.95,23.45,231.95,43.4,7286.65,62135.75,65.6,409.3
98,30227.25,10744.0,517.85,23.55,230.5,43.15,7321.55,62625.55,62.1,410.85
99,29739.45,10792.5,505.85,23.55,223.5,43.05,7358.75,63115.0,60.75,413.1
100,29248.9,10841.9,493.7,22.95,217.3,43.1,7396.4,63605.05,58.2,415.0
101,28757.4,10894.25,491.1,23.1,214.3,41.55,7429.9,64096.0,59.85,417.4
102,28265.9,10944.7,488.35,23.4,208.75,43.35,7461.9,64586.75,61.25,418.9
103,27775.0,10995.75,484.7,22.9,205.55,43.65,7495.15,65077.05,62.45,420.9
